// # Language: French
altar_category_armor|Armure
outro_cutscene_4|Les Kirajins reviendront plus fort que jamais...
outro_cutscene_5|Parviendrez-vous à les combattre et récupérer les terres perdus des Patapon, Pata-Pole? 
outro_cutscene_6|Apprenez les arts anciens de la toute première tribu Patapon et menez votre armée à la victoire.
outro_cutscene_7|Les autres tribus auront besoin de vous, Tout-Puissant [PLAYER_NAME]...
outro_cutscene_8|Sauvez le monde dans la version complète de Patafour !
outro_end|Merci d’avoir joué !
patapolis|Patapolis
patapolis_altar|Totem
patapolis_barracks|Caserne
patapolis_blacksmith|Forgeron
patapolis_demofinish|Félicitations, vous avez fini la démo !
patapolis_demo_pick1|Regarder les crédits
patapolis_demo_pick2|Annuler
patapolis_egg|Oeuf du monde
patapolis_festival|Place du festival
patapolis_obelisk|Obélisque
patapolis_paraget|Paraget
patapolis_returntomain|Voulez-vous retourner\à l’écran titre ?
patapolis_returntomainsave|Les données non enregistrées seront perdus.\Êtes-vous sûr ?
patapolis_save|Voulez-vous sauvegarder votre partie ?
patapolis_saved|La partie a été enregistrée.
patapolis_sen|Sen Ranpurupon
patapolis_trader|Marché
patapolis_tree|Mater, Arbre de la Vie
patapolis_wakapon|Wakapon, le Gardien
rarepon_normal|Normal
rarepon_normal_desc|Un guerrier normal de la tribu des Patapons. Ils sont réputés pour leur stoïcisme et leur bravoure. Ces Patapons sont peut être de petite taille, mais avec la bonne mentalité, ils peuvent tout faire !
tip1_desc|La chasse aux Kacheeks dans la vallée de Shida\est une ancienne tradition des Patapons.\\Ces bêtes lentes ont nourri la tribu\pendant des générations. Rejoindre une session de chasse est\pour la plupart des Patapons une première expérience au maniement d’une lance.\\Bien que leur odorat ne soit pas aussi bon\que les Mochichis, il est plus prudent d’attendre un vent de face\afin qu’ils ne puissent pas sentir les Patapons venir.
tip1_title|Chasse au Kacheeks
tip2_desc|Obtenez de la viande venant de la chasse !\\Chassez les proies pour que la tribu Patapon puisse manger.\Quoi qu’il se passe dans le monde,\les Patapons ont besoin de viande\pour se remplir le ventre !\\Si vous avez bien dirigé les Patapons, ils pourraient\laisser de la viande en offrande à l’autel !\\Les Kacheeks donnent de la viande de cuir.\Les Mochichis donnent de la viande tendre.\\Après votre retour de chasse, n’oubliez pas de vérifier à l’autel !
tip2_title|Récompenses de la chasse
tip3_desc|Le Bosquet Patapine est connu pour sa capacité\à s’y perdre facilement.\\Les énormes arbres sont un matérau parfait\pour les bâtiments solides, en raison de leur\durabilité incroyable.\\De nombreux bûcherons Patapons passent\leur vie entière à ramasser du bois,\et de nouveaux arbres y poussent chaque jour.
tip3_title|Bois Robuste du Bosquet Patapine
tip4_desc|Obtenir des commandes parfaites est la clé\de la réussite.\\Une fois que vous avez parfaitement frappé les 4 tambours,\vous entendrez un “shwing”.\\De nombreux avantages proviennent des commandes parfaites !\Les Patapons peuvent marcher plus vite et infliger plus de dégâts.\\C’est une technique utile à apprendre !
tip4_title|Commandes parfaites
tip5_desc|PON PON CHAKA CHAKA charge vos unités.\\Vous pouvez utiliser cette commande à votre avantage !\\Infligez plus de deux fois plus de dégâts\en attaquant !\\Réduisez considérablement les dégâts subis\lors d’un défense !\\Certaines classes ont un comportement spécial lorsqu’elles sont chargées.
tip5_title|N’oubliez pas de charger !
tip6_desc|Wakapon est le gardien de l’Œuf du Monde\qui brille au centre du pont de Patapole.\\L’Œuf du Monde apporte la paix de le monde des Patapons.\\Les légendes disent que le briser\libérerait tout le mal des enfers dans le monde.\\Le Wakapon a promis à Kami de protéger l’Œuf du Monde au péril de sa vie.
tip6_title|Wakapon et l’Œuf du Monde
tip7_desc|Sen est une prêtresse de l’âge de l’ancien Patapon.\\Elle est un lien direct entre Patapons et Kami,\et a vécu à travers de nombreuses générations de tribu Patapon.\\Ranpurupon est très attentionnée pour chaque Patapon,\élevant et enseignant les enfants Patapons.\Elle fera tout pour aider la tribu à grandir.
tip7_title|Sen Ranpurupon dans l’ancienne Patapolis
tip8_desc|Saviez-vous que les Patapons fêtaient également Noël ?\\Pour la période de Noël, les Patapons décorent\Patapolis avec de nombreuses décorations colorées.\\Les petits Patapons attendent Santapon,\qui leur donne ce qu’ils souhaitent.\\Ils reçoivent généralement leur première arme\pour combattre au nom du Tout-Puissant, pour atteindre Earthend !
tip8_title|Noël à Patapolis
tips_anykey|Appuyer sur n’importe quelle touche
tips_loading|Chargement
worldmap_header_1|Carte du monde de Patapon
worldmap_location_1_description|L’air humide de la mer qui souffle dans cette vallée en fait un habitat parfait pour les plantes de toutes sortes, permettant aux fougères éphémères de pousser à des hauteurs énormes ! Pendant des générations, diverses tribus ont utilisé cette zone fertile comme zone pour chasser les animaux et cueillir des légumes sauvages. Son étrange paysage de plantes géantes peut être désorientant et des rumeurs persistent à propos de secrets cachés quelque part dans la région.
worldmap_location_1_title|~ Vallée Shida ~
worldmap_location_2_description|Les pins de ce bosquet sont réputés pour leur hauteur gargantuesque et leur robustesse lorsqu’ils sont utilisés comme matériau de construction. Les Patapon bûcherons sont connus pour pour gagner leur vie ici en coupant ces arbres pour la construction. La rumeur veut que des fées prospèrent des champignons comestibles dans les profondeurs de la forêt.
worldmap_location_2_title|~ Le Bosquet Patapine ~
worldmap_location_3_description|Les falaises d’Ejiji ont vu de nombreux dragons avant qu’ils ne disparaissent de leur lieu de naissance pour des raisons inconnues des habitants de Rolitoland. Elles constituent un bon endroit pour construire des maisons et des forteresses à l’abri des regards. Les Gyaba Rarepons sont issus de cette région et certains habitent encore les falaises à ce jour, mais nombre de cette lignée de Patapon sont, depuis, éparpillée dans le monde.
worldmap_location_3_title|~ Les falaises d’Eijiji ~
worldmap_location_locked|~ Bloqué ~
worldmap_mission_1_description|De nombreux animaux se rassemblent dans la vallée pour avoir la chance de trouver des plantes et des champignons comestibles. Profitez de cette occasion pour chasser les créatures pour nourrir vos Patapons ! Les rumeurs disent que la vallée détient un trésor inconnu.
worldmap_mission_1_title|Chasse dans la Vallée Shida
worldmap_mission_2_description|Les Kirajins se sont installés dans le Bosquet Patapine ! En utilisant le bois solide des arbres environnants, ils ont construit une forteresse. Rassemblez vos forces et abattez la forteresse tout en vous méfiant des créatures de la forêt !
worldmap_mission_2_title|Forteresse dans les bois
worldmap_mission_3_description|Les Kirajins ont peut-être été vaincus une fois, mais ils sont revenus, plus forts que jamais. Ils sont déterminés à maintenir cette position à n’importe quel prix. Battez la forteresse une fois de plus pour repousser les forces Kirajins !
worldmap_mission_3_title|Forteresse de Kirajin - Bosquet Patapine : Niv.
worldmap_mission_4_description|Les éclaireurs Patapons ont rapporté qu’au sein des falaises d’Ejiji, les Kirajins ont commencé la construction d’une énorme forteresse qui servira de base d’opérations contre les forces Patapons. Selon les rapports, la future forteresse est renforcée par une puissante technologie jamais vu auparavant. Soyez courageux, n’ayez pas peur et détruisez cette forteresse avant qu’elle ne soit terminée.
worldmap_mission_4_title|Armements avancés
worldmap_mission_5_description|Même après avoir détruit une fois leur forteresse, les Kirajins ne se laisseront plus perdre une fois de plus. Ils sont déterminés à se battre pour cet endroit même si cela leur coûte la vie. Meden prévient d’un ton sombre dans sa voix “Ce sera encore plus difficile que la dernière bataille”.
worldmap_mission_5_title|Kirajins implacables aux falaises d'Ejiji : Niv.
worldmap_mission_6_description|À cette période de l’année, la vallée de Shida est couverte de neige, alors que les vents glacés de l’océan près du pont Patapole arrivent. C’est l’occasion idéale pour les animaux rares de sortir de leurs nids et de chasser le poisson sous la glace. Parfois des espèces vraiment rares peuvent apparaître...
worldmap_mission_6_title|Fougères couvertes de neige de la vallée de Shida
worldmap_select|Sélectionner une quête
// # Translated by: 
// @x225franc
// @TooFat4You
// @TooFat4You
