// ## MAIN MENU
menu_newgame|New game
worldmap_mission_4_description|Patapon scouts have reported that within the Ejiji Cliffs, the Kirajins have begun construction on a massive fortress to serve as a base of operations against the Patapon forces. According to the reports, the to-be fortress is reinforced with powerful Kirajin technology, the likes of which the Patapons have never seen before. Be brave and be fearless, and destroy this fortress before it's complete.
worldmap_mission_5_title|Relentless Kirajins at Ejiji Cliffs: Lv. 
worldmap_mission_5_description|Even after destroying their fortress once, the Kirajins will not allow themselves to lose again. They’re determined to fight for this location even if it costs them their lives. Meden warns with a grim tone in her voice, “This will be even tougher than the last battle”.
worldmap_mission_6_title|Snow-covered Ferns of Shida Valley
worldmap_mission_6_description|In this time of the year, Shida Valley gets covered in snow, as the freezing winds from the ocean near the Patapole Bridge are coming. That's a perfect opportunity for rare animals to come out from their nests and hunt for fish under the ice. Sometimes, really rare species can show up...

// ## MISSION DATA
mission_complete|MISSION COMPLETE!
mission_failed|MISSION FAILED!
mission_backtopatapolis|Do you want to go back to Patapolis?\All materials and Ka-ching will be lost.
kirajin_ambush_1|Surprise attack!\Take position!
kirajin_ambush_2|Defend the guard tower!\Don't let them pass!
kirajin_ambush_3|Patapine Grove belongs to the Kirajins!\We will not let you pass!
kirajin_ambush_4|Surprise attack!\You won't step any further!
kirajin_ambush_5|Protect the guard tower\at all costs!
kirajin_ambush_6|This is our chance!\Destroy them!
kirajin_ambush_7|Attack! They must be freezing!
kirajin_talk_1|Th... The Patapons\are here!
kirajin_talk_2|Hehehe... Stupid Patapons...\So stupid...
kirajin_talk_3|Ejiji Cliffs won't be\taken away from us!
kirajin_talk_4|Don't let them get close\to our energy source!
kirajin_talk_5|Attack! You're dead now!
kirajin_talk_6|This is your end!
kirajin_talk_7|Give up! It's over!
kirajin_talk_8|We hate Patapons!
kirajin_talk_8|Hold on... Prepare...
kirajin_talk_9|Now, attack!
kirajin_talk_10|We cannot lose!
kirajin_talk_11|Protect the energy crystals!
kirajin_talk_12|You'll pay for it!\Curse you, Patapons!
kirajin_talk_13|You won't get away with this!
kirajin_talk_14|We will get our revenge\on you, Patapons!!!
kirajin_talk_15|Freeze them to death!
kirajin_talk_16|Let it snow... let it snow...
kirajin_death_1|Kill... kill...
kirajin_death_2|Death is inevitable!
kirajin_death_3|We will come back!
kirajin_death_4|Kira...jin...
kirajin_death_5|So... cold...

// # CREDITS
credits_creator|Project creator
credits_programmers|Programmers
credits_artists|Artists
credits_animators|Animators
credits_musicians|Musicians
credits_gameplay|Gameplay balance
credits_community|Community managers
credits_writers|Writers
credits_translators|Translators
credits_supporters|Supporters
credits_special|Special thanks
credits_all|And everyone who ever supported the project! Thank you!

// ## ITEMS
item_wooden_spear|Wooden Spear
desc_wooden_spear|A basic wooden spear, given to every Patapon recruit when they come of age and first join the hunting party. Treasured by many Patapons, even after they moved onto bigger and better weapons.
item_iron_spear|Iron Spear
desc_iron_spear|A tough iron spear. Patapons prize these becasue they are heavier and deal more damage. However, they require a stronger warrior to throw competently.
item_steel_spear|Steel Spear
desc_steel_spear|A spear with a sharpened tip made from the rare alloy, steel. These spears are lighter than iron spears but pack even more of a punch! 
item_kacheek_spear|Kacheek Spear
desc_kacheek_spear|A spear forged from the sharp tusk of a Kacheek. It’s sharpness is enough to pierce through shields, dealing critical damage.
item_shubaba_mask|Shuba
desc_shubaba_mask|Hero Mask of Phantom Strike. It grants a small portion of great Shubabassa's power of rapid attack, slightly increasing the speed of the wearer's muscles, allowing them to swing faster than other warriors.
item_none|Nothing!
desc_none|An empty corner of the Patapon altar, with only candles and incense
item_banal_branch|Banal Branch
desc_banal_branch|A basic wooden branch. Though it may just be a simple piece of wood, an enterprising patapon can find many uses for these, from an axe handle to a tent-pole.
item_cherry_blossom|Cherry Blossom
desc_cherry_blossom|According to legend, the ancient colossal cherry trees that this hardwood branch comes from in the East are resting deities.
item_small_rock|Stone
desc_small_rock|A common stone. Full of impurities, but vital to tribal life nonetheless. Patapon children often try to skip these across the surface of lakes and rivers.
item_hard_iron|Hard Iron
desc_hard_iron|Much blood has been spilled in conflicts surrounding this rare metal according to Zigoton myths. Patapon stories tell of how ancestors used to take hard iron from the inside of mountains, but the secret to this has been lost to the ages.
item_leather_meat|Leather Meat
desc_leather_meat|The elders tell young Patapons, "If it fills your stomach, don't complain" and they learn to eat this meat.
item_tender_meat|Tender Meat
desc_tender_meat|Patapons love this soft, luscious meat, but they can rarely eat it, even on their birthdays.
item_pon_drum|Pon Drum
desc_pon_drum|Great Drum of Valour. Obtained by agreeing to become the Patapon god.
item_pata_drum|Pata Drum
desc_pata_drum|Great Drum of Strength. Hatapon guarded this drum with his life.
item_chaka_drum|Chaka Drum
desc_chaka_drum|Great Drum of Wisdom.
item_don_drum|Don Drum
desc_don_drum|Great Drum of Miracles. This drum's beat is said to have the power to bring Almighty's will into being.
item_keepsake|Keepsake
desc_keepsake|Hatapon's keepsake. It always comforted him, and reminded him that Almighty would come in his hour of greatest need.
item_wooden_helmet|Wooden Helmet
desc_wooden_helmet|The traditional wooden helmet of the Patapon tribe. It is the trademark of their hunting parties, and despite it's simple design, it has saved the life of many Patapon warriors.
item_iron_helmet|Iron Helmet
desc_iron_helmet|This helmet, made from precious iron, mimics the standard-issue design of the Wooden Helmet, but provides more protection.
item_kacheek_helm|Kacheek Helm
desc_kacheek_helm|This helmet, fashioned from the pelt and fur of a Kacheek, keeps the wearer safe from harm. It also keeps the wearer's eye quite warm and cozy.
item_mudada_bone|Mudada Bone
desc_mudada_bone|A small, bleached bone, apparently from a small animal. They're often found in clumps of grass out in the hunting grounds, or in the stomachs of larger animals.
item_gashirin_bone|Gashirin Bone
desc_gashirin_bone|A large, sturdy bone. It is written that our ancient ancestors once used these bones as weapons.
item_kuneri_fang|Kuneri Fang
desc_kuneri_fang|A magnificent, warped fang. It can be shaved down to use as an edge for a weapon, and also serves well as equipment.
item_itete_fang|Itete Fang
desc_itete_fang|A large fang boasting a very sharp point. It's long been said that you can know a hunter's true skill by how many of these he's had to remove from his neck.
item_soggy_map|Grubby Map
desc_soggy_map|A map obtained from a buried treasure chest found in the Shida Valley. It marks the location of a hidden fortress.
item_digital_blueprint|Digital Blueprint
desc_digital_blueprint|A blueprint found inside a Kirajin hut at Patapine Grove. It shows the location of a to-be constructed Kirajin fortress.
item_titanum_ore|Titanum Ore
desc_titanum_ore|Legend has it that this tough, lightweight ore was granted to the Patapons by none other than Almighty. It can last for ages and is a perfect equipment material for classes that require swift movements.
item_hinoki|Hinoki
desc_hinoki|Legends say that even the Mighty Great Patapon's home is made up of this sacred Hinoki timber. Patapons feel relieved and rested when they come inside buildings made of this precious wood.
item_gizaza_fang|Gizaza Fang
desc_gizaza_fang|The tip of this fang contains countless tiny barbs. Anyone pierced by this fang will pay a terrible price trying to remove it. Even the most skilled Patapon medics struggle to get this fang out of one's body.
item_dream_meat|Dream Meat
desc_dream_meat|This legendary marbled meat melts like cotton candy, but Patapons prefer a heartier meal. Patapons who taste this delicacy everyday are granted to have happy and peaceful lifes.
item_scorching_spear|Scorching Spear
desc_scorching_spear|The magic cast upon this spear makes its tip flame. Inflicts heavy damage and sets foes on fire. The enemies will smell like roasted beef.
item_strength_helmet|Strength Helmet
desc_strength_helmet|This magic helmet, decorated with red algae paint from Bovo Volcano, greatly boosts attack.
item_kirajin_helmet1|Kirajin Iron Helmet
desc_kirajin_helmet1|Triangular helmet made of unspecified resource that is believed to be iron, provides unusual attributes to a soldier wearing it. It increases health points and boosts attack.
item_kirajin_spear1|Kirajin Iron Spear
desc_kirajin_spear1|Spear made of unusual materials that are believed to be iron. It's point is unbelievably sharp, one could pierce their finger just by gently touching it.
item_rappata_spear|Rappata Spear
desc_rappata_spear|A very sharp spear made from bones of hunted Rappatas. It is incredibly lightweight and can pierce through many targets at once.
item_rappata_helm|Rappata Helm
desc_rappata_helm|This helmet made from Rappata's fur provides much easier movement and gives protection against cold.
item_christmas_charm_2020|Christmas Charm 2020
desc_christmas_charm_2020|Holding this charm in your inventory grants you luck for the entire year! Thank you for participating in Patafour Winter Event 2020!
item_santa_hat|Santa Hat
desc_santa_hat|This cozy hat, knitted by Patapon grandmas, grants a lot of joy and warmth to the ones wearing it. Grants huge protection against cold.
item_category_material|Materials
item_category_weapon|Weapons
item_category_masks|Masks
item_category_masks|Armour
item_category_nothing|Empty Space

// ## RAREPONS
rarepon_normal|Normal
rarepon_normal_desc|A normal warrior from the Patapon tribe. They are renowned for their stoicism and bravery. While these Patapons may be small, with the right mindset, they can do anything!

// ## NAVIGATION
nav_next|Next
nav_previous|Previous
nav_nextpage|Next page
nav_previouspage|Previous page
nav_enter|Enter
nav_leave|Leave
nav_exit|Exit
nav_savegame|Save game
nav_exittotitle|Exit to title screen 
nav_left|Left
nav_right|Right
nav_up|Up
nav_down|Down
nav_circle|Circle
nav_triangle|Triangle
nav_square|Square
nav_cross|Cross
nav_move|Move
nav_scroll|Scroll
nav_yes|Yes
nav_no|No
nav_agree|Agree
nav_understood|Understood
nav_navigate|Navigate
nav_exittopatapolis|Exit to Patapolis
nav_interact|Interact
nav_selectunit|Select unit
nav_selectequip|Select equipment
nav_changeequip|Change equipment
nav_returntopatapolis|Return to Patapolis
nav_navigateitem|Navigate item
nav_equipitem|Equip item
nav_cancel|Cancel
nav_selectfield|Select field
nav_viewmissions|View missions
nav_selectmission|Select mission
nav_entermission|Enter mission
nav_returntofield|Return to field select
nav_returntomap|Return to World map
nav_startmission|Start mission
nav_onward|Onward
nav_attack|Attack
nav_defend|Defend
nav_charge|Charge
nav_retreat|Retreat
nav_jump|Jump
nav_party|Party
nav_summon|Summon

// ## INTRO CUTSCENE
newgame_intro_1|After finishing the Patapole Bridge, we\finally arrived in new lands, untouched\by the hands of the Almighty Patapon.
newgame_intro_2|In this unfamiliar place, we discovered\the ruins of an ancient civilization,\seemingly long forgotten.
newgame_intro_3|Desperate to find IT, we began tinkering\with the ancient mechanisms that\were found buried within the rubble.
newgame_intro_4|With a single button press, our three Yaripons,\Hero, and myself, were sent to an bizarre\and unfamiliar location filled with nature\and wildlife, seemingly devoid of any civilization.
newgame_intro_5|Worried about our comrades, we attempted\everything we could to return back home,\and thank the Almighty Patapon that we succeeded!
newgame_intro_6|However...
newgame_intro_7|Upon our return, we came back to discover\the bodies of our allies. Judging by\their wounds, their deaths were recent.
newgame_intro_8|The sky above was dyed bloody red,\and the screams of the very few survivors\could be heard in the distance.
newgame_intro_9|We looked up to the skies and were met with\a terrifying yet mysterious figure floating\ominously above us. It's singular eye was\filled with resentment and hatred.
newgame_intro_10|As it began to approach us, we luckily saved ourselves\with the ancient machine we had used once before,\barely escaping the despairing jaws of death.
newgame_intro_11|...
newgame_intro_12|Almighty, I pray to you!\Please guide us to Earthend.
newgame_intro_13|Save our world from evil\and let us finally gaze upon IT!
newgame_intro_14|Please, take the holy drum\and let us march once more!

// ## OUTRO CUTSCENE
outro_cutscene_1|Thank you for playing the demo!
outro_cutscene_2|It's been such a pleasure making Patafour for you!
outro_cutscene_3|The Patafour Team sincerely hopes that you liked it. We poured our heart and soul out for you.
outro_cutscene_4|The Kirajins will return stronger than ever...
outro_cutscene_5|Will you manage to fight them off and reclaim the lost Patapon homeland, Pata-Pole?
outro_cutscene_6|Learn the Ancient Arts from the very first of the Patapon Tribe and lead your army to victory.
outro_cutscene_7|The other tribes will need you, Almighty [PLAYER_NAME]...
outro_cutscene_8|Save the world in the full version of Patafour!
outro_end|Thank you for playing!

// ## FIRST RUN DIALOG
firstrun_dialog_1|Welcome to the Patafour Demo!\Press Z to continue.
firstrun_dialog_2|This is the first time you've ran the Demo,\so here's some basic information.
firstrun_dialog_3|Patafour is a project that is actively being developed.\This is not a final product and is nowhere near completion.
firstrun_dialog_4|This demo will show you most of the basic\core mechanics we managed to finish so far.
firstrun_dialog_5|Patafour Team hopes you'll like\our little project!
firstrun_dialog_6|Here are basic controls:\Z - Confirm (Cross)\X - Cancel (Circle)\Enter - Start\Space - Select
firstrun_dialog_7|You can change these settings\in the options menu.
firstrun_dialog_8|We recommend using a controller\for the best experience.
firstrun_dialog_9|Have fun!

// ## NPC MESSAGES
npc_wakapon_1|I am Wakapon! Guard of\the World Egg for Kami's order!
npc_wakapon_2|Welcome, Kami! I am very grateful\to speak with you in person!
npc_wakapon_3|You can be confident in me,\I'll protect the World Egg\with my life, promise!
npc_wakapon_4|I can feel something evil\coming to our world...
npc_wakapon_5|Do you feel it too, Kami?\Will you protect us from\any danger we may face?
npc_wakapon_6|These triangular creatures...\What are they? What do they\want from us Patapons?
npc_wakapon_7|Their eyes are filled with hatred...\I'm afraid it's only the beginning.
npc_wakapon_8|A perilous quest awaits\you and your troops, Kami.
npc_wakapon_9|Kirajins are in possession of\technology that is not of this\world. You must remain strong.
npc_wakapon_10|Fantastic job, Kami! You destroyed\their fortress at Ejiji Cliffs.
npc_wakapon_11|However, evil never rests.\Kirajins gather energy from\strange red crystals. Destroy\them to weaken their army!
npc_sen_1|Oh Great Kami!\Lead us to Earthend.
npc_sen_2|Oh Mighty Kami!\Lead us to Earthend.
npc_sen_3|Oh Mighty Patapon!\Lead us to Earthend.
npc_sen_4|There are many animals\wandering on Shida Valley.
npc_sen_5|Rumors say countless treasures\were buried in it's grounds.
npc_sen_6|Something attacked the Patapon\woodcutters at Patapine Grove!
npc_sen_7|Yaripon scouts report red,\triangular creatures building\a fortress from stolen wood...
npc_sen_8|"Kirajins"...? Is this\how they were called? 
npc_sen_9|I think I heard this\name before...
npc_sen_10|The Kirajins built another\fortress at Ejiji Cliffs.
npc_sen_11|We can't let them win...!\Go and defeat them, Kami!
npc_sen_12|You did it God! You did it!\It's over for now...
npc_sen_13|I still can't remember where\I've seen them before...

// ## TIPS
tips_anykey|Press any key to continue
tips_loading|Now loading
tip1_title|Hunting Kacheeks
tip1_desc|Hunting Kacheeks on Shida Valley\is an ancient Patapon tradition.\\These slow beasts have fed the tribe\for generations, and joining a hunting party\is many a Patapon's first experience of\wielding a spear. \\Though their sense of smell is not as good\as the flighty Mochichis, it is still worth\waiting for a headwind before approaching,\so they can't smell the Patapons coming.
tip2_title|Rewards from Hunting
tip2_desc|Get meat from hunting! \\Hunt prey so the Patapon tribe can eat. \Whatever is going on in the world,\Patapons need to have meat\to fill their bellies!\\If you have led the Patapons well, they might\leave some meat as an offering at the Altar!\\Kacheeks give you Leather Meat.\Mochichis give you Tender Meat.\\After you return from hunting,\make sure to check the Altar!
tip3_title|Sturdy Wood of Patapine Grove
tip3_desc|Patapine Grove is well known for the ability\to easily get lost in there.\\The enormous trees are a perfect material\for strong buildings, due to their \incredible durability.\\Many Patapon woodcutters spend\their entire lives on collecting wood,\and new trees are growing there every day.
tip4_title|Perfect Commands
tip4_desc|Getting perfect commands is the key\for the greatest performance.\\Once you hit all 4 drums perfectly,\you will hear a "shwing" sound.\\Many benefits come from perfect commands!\Patapons can walk faster and deal more damage.\\It's a useful skill to learn!
tip5_title|Remember to Charge!
tip5_desc|PON PON CHAKA CHAKA charges up your units.\\You can use this command for your advantage!\\Deal more than twice damage\when attacking!\\Greatly reduce taken damage\when defending!\\Some classes have special behavior when charged.
tip6_title|Wakapon and the World Egg
tip6_desc|Wakapon is the guardian of the World Egg \that shines in the center of Patapole Bridge.\\The World Egg brings peace to Patapon's world.\\Legends say that breaking it\would free all evil out of the Underworld.\\The Wakapon promised Kami to protect the World Egg\at all costs, guarding it with his life.
tip7_title|Sen Ranpurupon in Ancient Patapolis
tip7_desc|Sen is a priestess of the Ancient Patapon age.\\She is a direct link between Patapons and Kami,\and lived through many generations of Patapon tribe.\\Ranpurupon is very caring for every Patapon,\raising and teaching Patapon children.\\She will do anything to help the tribe grow.
tip8_title|Christmas in Patapolis
tip8_desc|Did you know that Patapons also celebrate Christmas?\\For the christmas period, Patapons decorate\the Patapolis with many colorful ornaments.\\Little Patapons wait for Santapon,\who gives them what they wished for.\\Usually they get their first weapons to start\fighting for Almighty, to reach the Earthend!

// # @owocek
