// ## main menu
menu_newgame|Нова гра
menu_invaliddata|Дані збереження пошкоджені, або їх не існує.
// ## options NEW
options_options|Налаштування
options_ingame_btn|Кнопка у грі
options_assign_key|Призначена кнопка
options_key|клавіша
options_change_title|Змінюється призначена кнопка на кнопку у грі:
options_change_button|кнопка
options_change_anykey|Нажміть на будь яку клавішу, щоб призначити її:
options_tip1|Порада: Наведіть на клавішу або виберіть її кнопками стрілок,\потім нажміть Хрест, щоб її змінити.\Трикутником можна видалити призначену клавішу.\Цифрами зверху можна змінити Ваші налаштовані прив'язки клавіш.
options_tip2|Порада: Натисніть будь-яку клавішу, щоб повернутися у меню налаштувань.\Нові прив'язки клавіш будуть збережені після виходу у меню.
options_tip3|Порада: Щоб продовжити, натисніть Start на клавіатурі.\Натисніть Коло, щоб вийти з налаштувань джойстику.
options_bigbutton|велика кнопка
options_audio1|Налаштування Звуку
options_volume1|Головна гучність: 
options_volume2|Гучність звуків: 
options_volume3|Гучність музики: 
options_input2|Прив'язка клавіатури
// ## intro cutscene NEW
newgame_intro_1|Після того, як ми закінчили міст Патапол,\ми знайшли землю, яку наш Всемогутній\ніколи не бачив.
newgame_intro_2|У цьому незнайомому місці, ми знайшли руїни\стародавньої, забутої цивілізації.
newgame_intro_3|Відчайдушно шукаючи ЦЕ, ми почали\возитися з давньою технікою,\знайденою під щебінню.
newgame_intro_4|Натиснувши на одну з кнопок,\три наших Яріпона, Герой і я опинились\у дивній землі, повною природою та диким життям.
newgame_intro_5|Ми захвилювались за наших товаришів,\і ми пробували все, щоб опинитися вдома...\Слава Всемогутньому, у нас це сталося!
newgame_intro_6|Проте...
newgame_intro_7|Коли ми повернулись, ми знайшли\тіла наших товаришів...\По їхнім ранам, вони нещодавно померли.
newgame_intro_8|Небо наповнилось червоним кольором,\а крики тих, хто вижив, ще\було чути іздалеку.
newgame_intro_9|Ми подивились на небо, і...\жахлива, але таємна фігура зловісно дивилася на нас.\Її єдине око було наповнено ненавистю та образою.
newgame_intro_10|Коли вона почала приближуватись до нас, ми,\на щастя, встигли повернутися цією самою\технікою, ледве ухилившись від жахливої коси смерті...
newgame_intro_11|...
newgame_intro_12|Всемогутній, я молюся до Тебе!\Будь ласка, проведи нас до Землекраю!
newgame_intro_13|Врятуй світ від зла,\і дай нам подивитися на ЦЕ!
newgame_intro_14|Будь ласка, візьми цей святий барабан,\і допоможи нам знову почати пригоди!
// ## first run NEW
firstrun_dialog_1|Ласкаво просимо у демо-версію Patafour!\Натисніть Z (Я), щоб продовжити.
firstrun_dialog_2|Ви в перший раз запускаєте цю демо,\тому покажу прості керування.
firstrun_dialog_3|Patafour - проєкт з активною розробкою.\Це не фінальна версія, ще задовго до закінчення.
firstrun_dialog_4|Ця демо-версія покаже лише головні\механіки гри.
firstrun_dialog_5|Команда Patafour сподівється, що\вам сподобається наш проєкт!
firstrun_dialog_6|Ось прості керування:\Z (Я) - Підтвердити (Хрест)\X (Ч) - Відмінити (Круг)\Ввід або Enter - Start\Пробіл - Select
firstrun_dialog_7|Ці налаштування можна змінити\у меню налаштувань.
firstrun_dialog_8|Ми рекомендуємо грати на джойстиці\для кращого комфорту.
firstrun_dialog_9|Насолоджуйтесь!
patapolis_returntomain|Хочете повернутися\до головного меню?
patapolis_returntomainsave|НЕЗБЕРЕЖЕНІ ДАНІ БУДУТЬ ВТРАЧЕНІ.\Ви згодні?
patapolis_save|Зберегти гру?
patapolis_saved|Гра збережена!
patapolis_demofinish|Вітаємо, Ви пройшли демо-версію!
patapolis_demo_pick1|Подивитися тітри
patapolis_demo_pick2|Назад
patapolis_sen|Сен Ранпурупон
// ## npc dialogue NEW
npc_wakapon_1|Я - Вакапон! Охоронець\яйця світу по наказу Камі!
npc_wakapon_2|Вітаю, Камі! Дуже вдячен поговорити\з Вами напряму!
npc_wakapon_3|Можете сподіватися на мене,\Я захищу яйце світу\своїм життям, обіцяю!
npc_wakapon_4|Я відчуваю дух зла\у нашому світі...
npc_wakapon_5|Ти теж це помітив, Камі?\Ти нас захистиш від будь якої\небезпеки перед нами?
npc_wakapon_6|Ці трикутні істоти...\Що вони таке? Чого вони\від нас, Патапонів, хочать?
npc_wakapon_7|Їх очі наповнені ненавистю...\Боюся, це лише початок.
npc_wakapon_8|На Вас та Вашу армію чекає\небезпечна місія, Камі.
npc_wakapon_9|Кіраджіни володіють\технологією іншого світу.\Будь мужнім.
npc_wakapon_10|Чудова робота, Камі! Ви зруйнували їхню\фортецю у скелях Еджіджі.
npc_wakapon_11|Але, зло ніколи не спить.\Кіраджіни збирають енергію\з дивних червоних кристалів.\Зруйнуй їх, щоб послабити їх армію!
npc_sen_1|О, Незрівнянний Камі!\Проведи нас до Землекраю.
npc_sen_2|О, Всемогутній Камі!\Проведи нас до Землекраю.
npc_sen_3|О, Всемогутній Патапон!\Проведи нас до Землекраю.
npc_sen_4|На Долині Шіда багато\диких тварин.
npc_sen_5|Є чутки, багато скарбів\закапано на тій землі.
npc_sen_6|Щось напало на Патапонських\лісорубів у гаю Патапайн!
npc_sen_7|Яріпонські розвідники бачили червоних,\трикутних істот, що будували\фортецю зі вкраденої деревини...
npc_sen_8|"Кіраджіни"...? Так їх звуть?
npc_sen_9|Я десь чула це ім'я...
npc_sen_10|Кіраджіни побудували ще одну\фортецю, тепер у скелях Еджіджі.
npc_sen_11|Ми не дамо їм виграти...\Перемож їх, Камі!
npc_sen_12|Ти це зробив, Камі!\Так!\Поки що, все закінчено...
npc_sen_13|Я все ще не знаю де\я їх бачила...
// ## altar NEW
altar_category0|Матеріал
altar_category1|Спис
altar_category2|Маска
altar_category3|Шолом
altar_category4|Ключовий предмет
// ## barracks NEW
barracks_yaripon|Яріпон
barracks_unit_status|Статус юніта
barracks_stat_level|Рівень
barracks_stat_exp|Досвід
barracks_stat_hp|ОЗ
barracks_stat_damage|Шкода
barracks_stat_attackspeed|Швидкість атаки
barracks_stat_critchance|Шанс Крит. шкоди
barracks_stat_knockbackchance|Шанс Віддачі
barracks_stat_staggerchance|Шанс Похиту
barracks_stat_burnchance|Шанс Підпалювання
barracks_stat_freezechance|Шанс Заморозки
barracks_depart|Впевнені, що хочете почати міссію?
// ## items NEW
item_titanum_ore|Титанова руда
desc_titanum_ore|За легендою, ця стійка і легка руда була дарована самим Всемогутнім. Вона може залишатися цілою роками, і це ідеальний матеріал для зброї, зробленої для швидкої атаки.
item_hinoki|Кипарис
desc_hinoki|За легендою, дім Всемогутнього Патапона зроблений із цього самого кипарису. Патапони розслабляються і позбавляються від стресу коли заходять у хатинки, зроблені з цієї древесини.
item_gizaza_fang|Ікло Ґізаза
desc_gizaza_fang|На кінці цього ікла можна побачити (або відчути) нескінчено багато колючок. Будь кого, кого проколить це ікло, заплатить велику ціну. Навіть найдосвідченішам медикам Патапонам дуже важко вилікувати це ікло.
item_dream_meat|Мрійне м'ясо
desc_dream_meat|Це легендарне м'ясо смачне,як цукорна вата, але Патапонам більш подобається їжа посердечніше. Патапонам, які їдять цю смакоту кожен день, гарантована радість та мир у житті.
item_scorching_spear|Пекучий спис
desc_scorching_spear|Вогняні чари дали спису полум'я на кінці. Важко пошкоджує і підпалює ворога. А ще вони будуть пахнути як шашлик.
item_strength_helmet|Силовий шолом
desc_strength_helmet|Цей магічний шолом з червоними водоростями з Вулкану Бово підвищує атаку.
item_kirajin_helmet1|Кіраджінський залізний щолом
desc_kirajin_helmet1|Трикутний шолом з невідомого матеріалу, можливо заліза. Додає невідомі атрибути до носія. Підвищує шкоду та ОЗ.
item_kirajin_spear1|Кіраджінський залізний спис
desc_kirajin_spear1|Спис з невідомих матеріалів, можливо заліза. Кінець списа неймовірно гострий - можна проколоти палець, просто торкнувшись його.
// ## navigation NEW
nav_understood|Зрозуміло
// ## tips NEW
tips_anykey|Натисніть кнопку щоб продовжити!
tips_loading|Завантажуємо...
tip1_title|Полювання на Качіків
tip1_desc|Полювання на Качіків у долині Шіда -\стародавня Патапонська традиція.\\Ці повільні тварини годували Патапонів\поколіннями, а мисливські групи - \перший раз, коли багато Патапонів\вперше користувались списом.\\Хоча їх нюх не такий хороший, як\у Мочічі, все одно варто\почекати вітер, щоб вони не\почуяли запах Патапонів.
tip2_title|Нагороди від Полювань
tip2_desc|Полюй заради м'яса! \\Полюй на тварин, щоб Патапони мали що їсти. \Не важливо, що коїться у світі,\Патапонам потрібне м'ясо,\щоб добре поїсти!\\Якщо ти добре допомогав Патапонам,\вони можуть дати трохи м'яса на Алтарі!\\Качіки дають Шкіряне М'ясо.\Мочічі дають Ніжне М'ясо.\\Після полювань, перевірь Алтарь!
tip3_title|Тверді дерева гаю Патапайн
tip3_desc|Відомо, що можна легко заблукати\у Гаю Патапайн.\\Гігантські дерева - ідеальний будматеріал,\бо вони мають неймовірну стійкість.\\Багато Патапонських лісорубів\усе своє життя виділяють на рубку\дерев, а нові дерева виростають щодня.
tip4_title|Ідеальні команди
tip4_desc|Ідеальні команди - ключ\до кращої ефективності.\\Коли ідеально вдариш 4 рази,\ти почуеш звук "Швінь!".\\Ідеальні команди дуже корисні!\Патапони марширують швидше\і мають повищену шкоду.\\Дуже варто вивчити цю здібність!
tip5_title|Пам'ятай заряджатись!
tip5_desc|ПОН ПОН ЧАКА ЧАКА придає сили твоїм юнітам.\Використай це для переваги!\\Коли атакуєш, нанеси\двічі шкоди!\\Під час захисту,\отримай менше шкоди!\\Деякі класи реагують по-іншому,\поки заряджені.
tip6_title|Вакапон і яйце світу
tip6_desc|Вакапон - охоронець яйця світу,\що блищить серед Моста Патапол.\\Яйце світу дає мир світу Патапонів.\\За легендою, коли яйце розіб'ється,\все зло зі злочинного світу звільнится у наш світ.\\Вакапон пообіцяв Камі захищати\яйце світу своїм життям.
tip7_title|Сен Ранпурупон в стародавньому Патаполісі
tip7_desc|Сен - жриця стародавніх Патапонів.\\Вона також є прямим зв'язком до Камі,\і пережила багато Патапонських поколінь.\\Ранпурупон дуже піклується про Патапонів,\навчає і виховує дітей.\\Вона зробить будь-що, щоб плем'я росло.
// ## missiondata NEW
kirajin_ambush_1|Засада!\Готуймося!
kirajin_ambush_2|Захищайте вежу!\Не дамо їм пройти!
kirajin_ambush_3|Гай Патапайн належить Кіраджінам!\Ми не дамо вам пройти!
kirajin_ambush_4|Засада!\Ви не пройдете далі!
kirajin_ambush_5|Захищайте вежу\всім чим можна!
kirajin_ambush_6|Ось наш шанс!\Знищимо їх!
kirajin_talk_1|П... Патапони\тут!
kirajin_talk_2|Хеххех... Дурні Патапони...\Такі дурні...
kirajin_talk_3|Ми не віддамо\Скелі Еджіджі!
kirajin_talk_4|Не підпускайте їх до\нашого джерела енергії!
kirajin_talk_5|Атакуйте! Ви помрете!
kirajin_talk_6|Це ваш кінець!
kirajin_talk_7|Здавайтеся! Все закінчено!
kirajin_talk_8|Ми ненавидимо Патапонів!
kirajin_talk_8|Чекайте... Готуйсь...
kirajin_talk_9|І, в атаку!
kirajin_talk_10|Ми не можемо програти!
kirajin_talk_11|Захищайте кристали енергії!
kirajin_talk_12|Ви за це заплатите!\Будьте прокляті, Патапони!
kirajin_talk_13|Ви від цього не втечете!
kirajin_talk_14|Ми помстимося\на вас, Патапони!!!
kirajin_death_1|Вбити... вбити...
kirajin_death_2|Смерть неминуча!
kirajin_death_3|Ми ще повернемося!
kirajin_death_4|Кіра...джін...
// ## christmas event NEW
tip8_title|Різдво в Патаполісі
tip8_desc|А ви знали, що Патапони святкують Різдво?\\Під час Різдва, Патапони прикрашають\Патаполіс багатьма візерунками.\\Маленькі Патапони чекають Сантапона,\і він дарує те, що вони побажали.\\Зазвичай вони отримують першу зброю, і\починають битися на стороні Всемогутнього,\щоб дійти до Землекраю!
item_rappata_spear|Спис Раппати
desc_rappata_spear|Дуже гострий спис з кісток Раппати. Неймовірно легке, і може проколоти декілька ворогів за раз.
item_rappata_helm|Шолом Раппати
desc_rappata_helm|Шолом від хутра Раппати дає швидкість і захист від холоду.
item_christmas_charm_2020|Амулет Різдва 2020
desc_christmas_charm_2020|Амулет в інвентарі дає тобі удачу на цілий рік! Дякую за участь у Події Різдва 2020!
item_santa_hat|Шапка Діда Мороза
desc_santa_hat|Вишита Патапонськими бабусями, ця затишна шапка дає багато радості і щастя. Дає величезний захист від холоду.
worldmap_mission_6_title|Сніжні папороті у долині Шіда
worldmap_mission_6_description|У цю пору року, Долина Шіда вкривається снігом, поки приходять холодні вітри океану біля мосту Патапол. Ідеальна пора для рідкісних тварин на полювання на рибу під льодом! Іноді, дуже рідкісні тварини виходять на долину...
kirajin_talk_15|Заморозити до смерті!
kirajin_talk_16|Прилетіла... ластівочка...
kirajin_ambush_7|Атакуйте! Вони замерзають!
kirajin_death_5|Так... холодно...
// # translated by Hemlol19
