// # Language: Vietnamese
altar_category_armor|Giáp
desc_iron_spear|Một ngọn giáo sắt cứng rắn. Patapon trân trọng vũ khí này, cho rằng chúng nặng hơn và gây nhiều sát thương hơn. Tuy nhiên, họ yêu cầu một chiến binh khỏe hơn để ném thành thạo.
desc_itete_fang|Một chiếc răng nanh lớn có đầu rất nhọn. Người ta đã nói từ lâu rằng bạn có thể biết kỹ năng thực sự của một thợ săn bằng cách đếm số lượng răng nanh này mà hắn ta phải loại bỏ khỏi cổ mình.
desc_kacheek_helm|Mũ này, được làm từ vải và lông của Kacheek, giúp người đội an toàn khỏi những tổn hại. Nó cũng giữ cho mắt người đeo khá ấm áp và ấm cúng.
desc_kacheek_spear|Một ngọn giáo được rèn từ chiếc ngà nhọn của loài Kacheek. Độ sắc bén của nó đủ để xuyên qua các tấm khiên, gây sát thương chí mạng.
desc_keepsake|Vật kỷ niệm của Hatapon. Nó luôn an ủi Hatapon, và nhắc nhở rằng vị thần sẽ đến vào thời khắc cần nhất.
desc_kirajin_helmet1|Mũ hình tam giác làm từ tài nguyên không xác định được cho là sắt, cung cấp các thuộc tính bất thường cho người lính đội nó. Tăng máu và sức tấn công.
desc_kirajin_spear1|Cây giáo làm bằng vật liệu khác thường được cho là sắt. Mũi nhọn của nó sắc đến mức khó tin, một người có thể chọc thủng ngón tay của mình chỉ qua việc chạm nhẹ vào nó.
desc_kuneri_fang|Một chiếc răng nanh cong vênh tuyệt đẹp. Nó có thể được cạo xuống để sử dụng làm cạnh cho vũ khí và cũng có thể là trang bị.
desc_leather_meat|Những người già làng nói với Patapons trẻ tuổi rằng "Nếu nó lấp đầy dạ dày của mày, đừng kêu ca" và họ học cách ăn loại thịt này.
desc_mudada_bone|Một khúc xương nhỏ đã được tẩy trắng, hình như là của một con vật nhỏ. Chúng thường được tìm thấy trong các đám cỏ ngoài bãi săn, hoặc trong dạ dày của các loài động vật lớn hơn.
desc_none|Một góc trống của đển thờ Patapon, chỉ có nến và hương
desc_pata_drum|Trống Thần Của Sức Mạnh. Hatapon đã bảo vệ chiếc trống thần này bằng cả mạng sống của mình.
desc_pon_drum|Trống Thần Của Sự Can Đảm. Có được bằng cách đồng ý trở thành vị thần của Patapon.
desc_rappata_helm|Chiếc mũ này, làm tử lông thỏ Rappata, cung cấp khả năng di chuyển dễ dàng hơn và bảo vệ vởi cái lạnh tốt hơn.
desc_rappata_spear|Ngọn giáo sắc nhọn làm từ xương của nhũng con Rappata bị săn. Nó rất nhẹ và có khả năng xuyên qua nhiều mục tiêu cùng lúc.
desc_santa_hat|Chiếc mũ ấm cúng này, được đan bởi các Patapon có tuổi, đem lại rất nhiều niềm vui và sự ấm áp cho những người đội nó. Chống chịu rất tốt trước cái lạnh.
desc_scorching_spear|Ma thuật được phù lên ngọn giáo này làm cho đầu nó trở nên rực cháy. Nó gây sát thương cao, và thiêu cháy kẻ thù. Bọn chúng sẽ có mùi giống như thịt bò nướng.
desc_shubaba_mask|Mặt nạ anh hùng “Đòn Đánh Bóng Ma”. Nó ban một phần nhỏ tốc độ tấn công thần thánh của thần Shubabassa, tăng tốc độ của cơ bắp của người đeo một chút, cho phép họ tung ra những đòn vung, đánh nhanh hơn các chiến binh khác.
desc_small_rock|Một viên đá thông thường. Đầy tạp chất, nhưng dù sao cũng rất quan trọng đối với cuộc sống của bộ lạc. Trẻ em Patapon thường cố gắng ném những thứ này qua các mặt hồ và sông.
desc_soggy_map|Một bản đồ thu được từ một rương kho báu bị chôn vùi được tìm thấy ở Thung lũng Shida. Nó đánh dấu vị trí của một pháo đài ẩn.
desc_steel_spear|Một cây giáo có đầu nhọn được làm từ hợp kim quý hiếm - thép. Những ngọn giáo này không những nhẹ hơn những ngọn giáo đầu sắt mà thậm chí còn thốn hơn một cú đấm nhiều!
desc_strength_helmet|Chiếc mũ ma thuật này, được trang trí bằng sơn tảo đỏ từ núi lửa Bovo, giúp tăng sức tấn công đáng kể.
desc_tender_meat|Patapons thích loại thịt mềm, ngon này, nhưng họ hiếm khi có thể ăn nó, kể cả trong dịp đặc biệt.
desc_titanum_ore|Truyền thuyết kể rằng loại quặng nhẹ và cứng này được ban cho Patapon bởi không ai khác hơn là Thần Patapon. Nó có thể tồn tại qua nhiều thế hệ và là vật liệu trang bị hoàn hảo cho các chức vụ mà yêu cầu chuyển động nhanh.
desc_wooden_helmet|Mũ bằng gỗ truyền thống của bộ tộc Patapon. Nó là đặc trưng của các nhóm săn bắt của họ, và mặc dù có thiết kế đơn giản nhưng nó đã cứu mạng nhiều chiến binh Patapon.
desc_wooden_spear|Một cây giáo gỗ cơ bản, được trao cho mọi lính Patapon khi họ đến tuổi nhập ngũ và tham gia nhóm săn bắt lần đầu tiên. Được nhiều Patapon trân trọng, ngay cả khi họ chuyển sang vũ khí lớn hơn và tốt hơn.
firstrun_dialog_1|Chào mừng bạn đến với Patafour Demo! \ Nhấn phím Z để tiếp tục.
firstrun_dialog_2|Đây là lần đầu tiên bạn chạy Demo, \ vì vậy đây là một số thông tin cơ bản
firstrun_dialog_3|Patafour là một dự án đang được tích cực phát triển. \ Đây chưa phải là sản phẩm cuối cùng và chưa hoàn thiện.
firstrun_dialog_4|Bản Demo này sẽ cho bạn thấy hầu hết các cơ chế \ cốt lõi cơ bản mà chúng tôi đã hoàn thành cho đến nay.
firstrun_dialog_5|Patafour Team hy vọng bạn sẽ thích \ dự án nhỏ này của chúng tôi!
firstrun_dialog_6|Đây là các điều khiển cơ bản: \ Z - Xác nhận (Chéo) \ X - Hủy (Hình tròn) \ Enter - Bắt đầu \ Dấu cách - Chọn
firstrun_dialog_7|Bạn có thể thay đổi các cài đặt này \ trong menu tùy chỉnh.
firstrun_dialog_8|Chúng tôi khuyên sử dụng bộ điều khiển \ để có trải nghiệm tốt nhất.
firstrun_dialog_9|Chúc vui vẻ!
item_banal_branch|Cành gỗ
item_chaka_drum|Trống CHAKA
item_cherry_blossom|Cành đào
item_christmas_charm_2020|Bùa Giáng Sinh 2020
item_digital_blueprint|Bản đồ điện tử
item_don_drum|Trống DON
item_dream_meat|Thịt hiếm
item_gashirin_bone|Xương Gashirin
item_gizaza_fang|Răng nanh Gizaza
item_hard_iron|Sắt cứng
item_hinoki|Gỗ Hinoki
item_iron_helmet|Mũ sắt
item_iron_spear|Giáo sắt
item_itete_fang|Răng nanh Itete
item_kacheek_helm|Mũ Kacheek
item_kacheek_spear|Giáo Kacheek
item_keepsake|Vật kỷ niệm
item_kirajin_helmet1|Mũ Kirajin
item_kirajin_spear1|Giáo Kirajin
item_kuneri_fang|Răng nanh Kuneri
item_leather_meat|Thịt da
item_mudada_bone|Xương Mudada
item_none|Không gì hết!
item_pata_drum|Trống PATA
item_pon_drum|Trống PON
item_rappata_helm|Mũ Rappata
item_rappata_spear|Giáo Rappata
item_santa_hat|Mũ ông già Noen
item_scorching_spear|Giáo hỏa thiêu
item_shubaba_mask|Mặt nạ Shubaba
item_small_rock|Đá nhỏ
item_soggy_map|Bản đồ bị ướt
item_steel_spear|Giáo thép
item_strength_helmet|Mũ sức mạnh
item_tender_meat|Thịt mềm
item_titanum_ore|Quặng Titanium
item_wooden_helmet|Mũ gỗ
item_wooden_spear|Giáo gỗ
kirajin_ambush_1|Phục kích!\Vào vị trí!
kirajin_ambush_2|Giữ lấy tháp canh!\Không để cho chúng lọt qua!
kirajin_ambush_3|Rừng Patapine là của bọn ta!\Đừng hòng vượt qua!
kirajin_ambush_4|Phục kích!\Các ngươi đến đường cùng rồi!
kirajin_ambush_5|Bảo vệ tháp canh!\Bất chấp tính mạng!
kirajin_ambush_6|Bây giờ!\Tiêu diệt chúng!
kirajin_ambush_7|Tấn công! Chúng chắc chắn đang lạnh cóng!
kirajin_death_1|Sát... sát...
kirajin_death_2|Cái chết là chắc chắn!
kirajin_death_3|Chúng ta sẽ báo thù!
kirajin_death_4|Kira...jin...
kirajin_death_5|Lạnh... quá...
kirajin_talk_1|Bọn... Bọn Patapon kìa!
kirajin_talk_10|Không được chịu thua!
kirajin_talk_11|Bảo vệ đám tinh thể!
kirajin_talk_12|Các ngươi sẽ phải trá giá!\Lũ Patapon tai ương!
kirajin_talk_13|Các ngươi không thoát khỏi chuyện này đâu!
kirajin_talk_14|Bọn ta sẽ báo thù!
kirajin_talk_15|Cho bọn chúng chết cóng!
kirajin_talk_16|Tuyết rơi đi... Tuyết rơi đi...
kirajin_talk_2|Hehehe... Lũ Patapon ngu xuẩn...\Thật ngu ngốc...
kirajin_talk_3|Các ngươi sẽ không chiếm được\vách núi Ejiji đâu!
kirajin_talk_4|Không để cho chúng lại gần\nguồn năng lượng!
kirajin_talk_5|Tấn công!\Các ngươi xong rồi!
kirajin_talk_6|Các ngươi tới số rồi!
kirajin_talk_7|Đầu hàng đi! Kết thúc rồi!
kirajin_talk_8|Căm thù bọn Patapon!
kirajin_talk_9|Bây giờ! Xông lên!
menu_continue| Tiếp tục
menu_exit| Thoát
menu_invaliddata|Dữ liệu lưu không hợp lệ hoặc đã bị hỏng hóc.
menu_newgame| Chơi mới
menu_nodata|Không có tệp lưu trữ có sẵn.
menu_nosupportdata|Dữ liệu đã lưu từ các phiên bản cũ hơn của\ Patafour không được hỗ trợ.
menu_options| Tùy chỉnh
menu_pressanykey|Nhấn phím bất kỳ để bắt đầu
menu_saveexists|Hiện nay đã có một tệp dữ liệu lưu. \ Bạn có muốn ghi đè vào tệp dữ liệu đó không?
mission_backtopatapolis|Bạn có chắc là muốn trở lại Patapolis không?\Tất cá nguyên liệu và Ka-ching kiếm được sẽ bị mất.
mission_complete|NHIỆM VỤ THÀNH CÔNG!
mission_failed|NHIỆM VỤ THẤT BẠI!
nav_agree|Đồng ý
nav_attack|Tấn công
nav_cancel|Hủy bỏ
nav_changeequip|Thay đổi trang bị
nav_charge|Chuẩn bị
nav_circle|Hình tròn
nav_cross|Dấu X
nav_defend|Phòng thủ
nav_down|Xuống
nav_enter|Vào
nav_entermission|Triển khai nhiệm vụ
nav_equipitem|Trang bị
nav_exit|Thoát
nav_exittopatapolis|Trở về Patapolis
nav_exittotitle|Trở về menu
nav_interact|Tương tác
nav_jump|Nhảy
nav_leave|Thoát
nav_left|Trái
nav_move|Di chuyển
nav_navigate|Di chuyển
nav_navigateitem|Chọn món đồ
nav_next|Tiếp theo
nav_nextpage|Trang sau
nav_no|Không
nav_onward|Tiến lên
nav_party|Cổ động
nav_previous|Trước
nav_previouspage|Trang trước
nav_retreat|Rút lui
nav_returntofield|Chọn khu vực khác
nav_returntomap|Trở về bản đồ
nav_returntopatapolis|Trở về Patapolis
nav_right|Phải
nav_savegame|Lưu
nav_scroll|Cuộn 
nav_selectequip|Chọn trang bị
nav_selectfield|Chọn khu vực
nav_selectmission|Chọn nhiệm vụ
nav_selectunit|Chọn chiến binh
nav_square|Tam giác
nav_startmission|Bắt đàu nhiệm vụ
nav_summon|Triệu hồi
nav_triangle|Hình vuông
nav_understood|Đã hiểu
nav_up|Lên
nav_viewmissions|Xem nhiệm vụ
nav_yes|Có
newgame_intro_1|Sau khi hoàn thành Cầu Patapole, cuối cùng chúng ta cũng đã đặt chân đến vùng đất mới, chưa bị động chạm bởi bàn tay của Thần Patapon.
newgame_intro_10|Khi nó bắt đầu tiếp cận chúng tôi, chúng tôi đã may mắn tự cứu mình \ bằng chiếc máy cổ xưa mà chúng tôi đã sử dụng lần trước đó, thoát khỏi cái chết trong tuyệt vọng.
newgame_intro_11|. . .
newgame_intro_12|Thần Toàn Năng, tôi cầu nguyện cho Người! \ Hãy đưa chúng tôi đến Earthend.
newgame_intro_13|Cứu thế giới của chúng ta khỏi cái ác \ và để cho chúng ta nhìn vào “IT”!
newgame_intro_14|Làm ơn, nhận chiếc trống thần và để cho chúng tôi tiến bước một lần nữa!
newgame_intro_2|Ở nơi xa lạ này, chúng ta đã khám phá ra \ những tàn tích của một nền văn minh cổ đại, \ dường như bị lãng quên từ lâu.
newgame_intro_3|Khát vọng tìm ra “IT”, chúng tôi bắt đầu mày mò \ với những cơ chế cổ xưa \ được tìm thấy trong đống đổ nát.
newgame_intro_4|Chỉ với một lần nhấn, ba Yaripon, \ Hero và tôi, đã được đưa đến một địa điểm kỳ dị và\ mởi lạ, đầy thiên nhiên và động vật\hoang dã, dường như không có bất kỳ nền văn minh nào.
newgame_intro_5|Lo lắng cho đồng đội của mình, chúng tôi đã cố gắng \ mọi thứ có thể để trở về nhà \ và cảm ơn Thần Patapon rằng chúng tôi đã thành công!
newgame_intro_6|Tuy nhiên...
newgame_intro_7|Khi trở về, chúng tôi quay lại chỉ để thấy\ xác chết của các đồng minh của mình. Nhìn qua vết thương của họ, họ chỉ mới chết gần đây.
newgame_intro_8|Bầu trời phía trên nhuộm một màu đỏ như máu,\và tiếng la hét của rất ít người sống sót ở phía xa có thể nghe thấy được.
newgame_intro_9|Chúng tôi nhìn lên bầu trời và bắt gặp \ một sinh vật đáng sợ nhưng bí ẩn đang bay lơ lửng trên chúng tôi. Con mắt kỳ lạ của nó chứa đầy oán hận và thù ghét.
npc_sen_1|Ôi Thần Patapon vĩ đại! \ Dẫn chúng tôi đến Earthend.
npc_sen_10|Kirajins đã xây dựng một \ pháo đài khác tại Vách đá Ejiji.
npc_sen_11|Chúng ta không thể để họ thắng ...! \ Hãy đi và đánh bại họ, Thần Patapon!
npc_sen_12|Người đã làm được, Thần Patapon! Người đã làm được! \ Hiện tại đã kết thúc ...
npc_sen_13|Tôi vẫn không thể nhớ nơi mà \ tôi đã nhìn thấy chúng trước đây ...
npc_sen_2|Ôi Thần Patapon vĩ đại! \ Dẫn chúng tôi đến Earthend.
npc_sen_3|Ôi Thần Patapon toàn năng! \ Dẫn chúng tôi đến Earthend.
npc_sen_4|Có rất nhiều động vật lang thang\tại Thung lũng Shida.
npc_sen_5|Tin đồn nói rằng vô số kho báu \ đã được chôn cất trong khuôn viên của nó.
npc_sen_6|Có thứ gì đó đã tấn công những Patapon \ thợ rừng tại Patapine Grove!
npc_sen_7|Các trinh sát Yaripon báo cáo màu đỏ, \ những sinh vật hình tam giác đang xây dựng \ một pháo đài từ gỗ bị đánh cắp ...
npc_sen_8|"Kirajins" ...? Đây có phải \ là cách họ được gọi không?
npc_sen_9|Tôi nghĩ rằng tôi đã nghe thấy \ tên này trước đây ...
npc_wakapon_1|Tôi là Wakapon! Người bảo vệ \ World Egg theo lệnh của Thần Patapon!
npc_wakapon_10|Công việc tuyệt vời, Thần Patapon! Pháo đài Kirajin tại \  Vách núi Ejiji đã bị phá hủy!
npc_wakapon_11|Tuy nhiên, cái ác không bao giờ yên. \ Kirajins thu thập năng lượng từ \ những tinh thể màu đỏ kỳ lạ. Phá hủy\ chúng để làm suy yếu quân đội Kirajin!
npc_wakapon_2|Chào mừng, Thần Patapon! Tôi rất biết ơn \ được nói chuyện trực tiếp với Người!
npc_wakapon_3|Người có thể tin tưởng vào tôi, tôi sẽ bảo vệ World Egg \ bằng mạng sống của mình, xin hứa!
npc_wakapon_4|Tôi có thể cảm thấy điều gì đó xấu xa đang đến với thế giới của chúng ta ...
npc_wakapon_5|Người cũng cảm thấy điều đó chứ, Thần Patapon? \ Người sẽ bảo vệ chúng tôi khỏi \ bất kỳ nguy hiểm nào chúng tôi có thể gặp phải?
npc_wakapon_6|Những sinh vật hình tam giác này ... \ Chúng là gì? Họ muốn gì ở Patapon chúng tôi?
npc_wakapon_7|Đôi mắt của họ đầy hận thù ... Tôi e rằng đó mới chỉ là khởi đầu.
npc_wakapon_8|Một nhiệm vụ nguy hiểm đang chờ Người và quân đội của Người, Thần Patapon.
npc_wakapon_9|Kirajins sở hữu công nghệ không thuộc về\thế giới này. Bạn phải luôn mạnh mẽ.
options_assign_key|Phím đã chỉ định
options_audio| m thanh
options_audio1|Tùy chỉnh âm thanh
options_audio1|Tùy chỉnh âm thanh
options_audio2|Tiếng trống
options_audio3|Tiếng hô của Patapon
options_audio4|Tiếng trả lời của Patapon
options_back| Quay lại
options_backtomain| Trở về menu
options_bigbutton|phím lớn
options_change_anykey|Nhấn một phím bất kỳ để gán nó vào phím nhập trong trò chơi:
options_change_button|(phím)
options_change_title|Thay đổi phím được chỉ định cho phím nhập trong trò chơi:
options_diff1|Nhịp HAY
options_diff2|Nhịp TỐT
options_diff3|Nhịp TỆ
options_disable|Tắt
options_enable|Bật
options_graphics|Đồ họa
options_graphics1|Độ phân giải
options_graphics2|Chất lượng hình ảnh
options_graphics3|Loại bỏ ảnh chéo/răng cưa
options_graphics4|Giới hạn framerate (Tốc độ khung hình)
options_graphics5|Chuyển sang toàn màn hình
options_graphics6|Màn hình không bờ
options_ingame_btn|Phím nhập trong trò chơi
options_input|Bàn phím
options_input1| Tùy chỉnh thiết bị điều khiển
options_input2|Tùy chỉnh bàn phím
options_input3|Căn chỉnh lúc đánh (thử nghiệm)
options_input_setup1| Hãy đảm bảo rằng thiết bị điều khiển của bạn đã được cắm vào PC. Bấm bất kỳ nút nào và nó sẽ xuất hiện ở giữa màn hình của bạn
options_input_setup10|Xin hãy bấm nút mà bạn muốn dùng để chỉnh camera về bên trái (Phím L)
options_input_setup11|Xin hãy bấm nút mà bạn muốn dùng để chỉnh camera về bên phải (Phím R)
options_input_setup12|Xin hãy bấm nút mà bạn muốn dùng để bấm nút Start
options_input_setup13|Xin hãy bấm nút mà bạn muốn dùng để bấm nút Select
options_input_setup14|Đã xong! Thiết bị điều khiển của bạn đã sẵn sàng để chơi Patafour!
options_input_setup2|Xin hãy bấm nút mũi tên chỉ bên trái
options_input_setup3|Xin hãy bấm nút mũi tên chỉ bên phải
options_input_setup4|Xin hãy bấm nút mũi tên chỉ xuống dưới
options_input_setup5|Xin hãy bấm nút mũi tên chỉ lên trên 
options_input_setup6|Xin hãy bấm nút mà bạn muốn dùng để đánh trống PATA (Ô vuông)
options_input_setup7|Xin hãy bấm nút mà bạn muốn dùng để đánh trống PON (Hình tròn)
options_input_setup8|Xin hãy bấm nút mà bạn muốn dùng để đánh trống DON (Dấu X)
options_input_setup9|Xin hãy bấm nút mà bạn muốn dùng để đánh trống CHAKA (Tam giác)
options_input_setup_again|Thử lại
options_input_setup_next|Tiếp theo
options_input_setup_notice|Phím điều khiển đã được nhập thành công
options_input_setup_return|Trở lại mục tùy chỉnh
options_key|Phím
options_language|Ngôn ngữ
options_language1|Thay đổi ngôn ngữ
options_language_english|Tiếng Anh
options_options|Tùy chỉnh
options_quality_high|Cao
options_quality_low| Thấp
options_quality_medium|Trung bình
options_quality_ultra|Tốt nhất
options_restart_button1|Khởi động lại game
options_restart_button2|Hủy thay đổi
options_restart_notice|Bạn cần phải khởi động lại Patafour để lưu những thay đổi trên. Khởi động lại luôn bây giờ?
options_tip1|Mẹo: Di chuột vào phím được chỉ định hoặc chọn nó bằng các phím mũi tên, sau đó nhấn nút X để thay đổi. \ Nhấn nút tam giác để xóa phím đã chỉ định. \ Sử dụng các số ở đầu menu để chuyển đổi giữa các phím nhập cài đặt trước.
options_tip2|Mẹo: Nhấn phím bất kỳ để quay lại menu tùy chỉnh. \ Các tổ hợp phím mới sẽ được lưu sau khi bạn thoát menu tùy chọn.
options_tip3|Nhấn nút Bắt đầu trên bàn phím của bạn để tiếp tục. \ Nhấn nút hình tròn để thoát thiết lập bộ điều khiển.
options_unlimited|(Không giới hạn)
options_volume| Âm lượng
options_volume1|Âm lượng chính
options_volume2|Tiếng
options_volume3|Nhạc
outro_cutscene_1|Cảm ơn bạn đã hoàn thành bản Demo!
outro_cutscene_2|Thật vui khi được làm Patafour cho bạn!
outro_cutscene_3|Nhóm lập trình Patafour chân thành hy vọng rằng bạn thích nó. Chúng tôi dành cả trái tim và tâm hồn của chúng tôi cho bạn.
outro_cutscene_4|Kirajins sẽ trở lại, mạnh mẽ hơn bao giờ hết ...
outro_cutscene_5|Bạn sẽ xoay sở để chống lại chúng và giành lại quê hương đã mất của Patapon, Pata-Pole?
outro_cutscene_6|Tìm hiểu nghệ thuật cổ đại từ lần đầu tiên của Bộ lạc Patapon và dẫn dắt quân đội của bạn đến chiến thắng.
outro_cutscene_7|Các bộ lạc khác sẽ cần bạn, Thần [PLAYER_NAME] ...
outro_cutscene_8|Giải cứu thế giới trong phiên bản FULL của Patafour!
outro_end|Cảm ơn bạn đã tham gia trải nghiệm!
patapolis|Patapolis
patapolis_altar|Đền thờ
patapolis_barracks|Doanh trại
patapolis_blacksmith|Lò rèn
patapolis_demofinish|Chúc mừng, bạn đả phá đảo bản Demo này!
patapolis_demo_pick1|Xem credits
patapolis_demo_pick2|Hủy
patapolis_egg|”World Egg”
patapolis_festival|Quảng trường lễ hội
patapolis_obelisk|Tượng Obelisk
patapolis_paraget|Cổng Paraget
patapolis_returntomain|Bạn có muốn quay lại màn hình chính không?
patapolis_returntomainsave|Dữ liệu chưa lưu sẽ bị mất. \ Bạn có chắc không?
patapolis_save|Bạn có muốn lưu dữ liệu của mình không?
patapolis_saved|Dữ liệu của bạn đã được lưu.
patapolis_sen|Sen Ranpurupon
patapolis_trader|Patapolis
patapolis_tree|Cây Sự Sống
patapolis_wakapon|Wakapon, người bảo vệ
rarepon_normal|Cơ bản
rarepon_normal_desc|Một chiến binh bình thường của làng Patapon. Họ nổi tiếng với tính cách khắc kỷ và dũng cảm. Mặc dù những Patapons này có thể nhỏ nhưng với tư duy đúng đắn, họ có thể làm bất cứ điều gì!
tip1_desc|Đi săn Kacheeks trên Thung lũng Shida \ là một truyền thống cổ xưa của Patapon. \\ Những con thú chậm chạp này đã nuôi sống bộ tộc \ qua nhiều thế hệ, và tham gia một nhóm săn bắn \ là trải nghiệm đầu tiên của Patapon khi \ cầm giáo. \\ Mặc dù khứu giác của chúng không tốt bằng những con Mochichis, nhưng vẫn đáng để \ chờ một cơn gió ngược trước khi đến gần, \ vì vậy chúng không thể ngửi thấy mùi của Patapons đang đến.
tip1_title|Săn Kacheeks
tip2_desc|Lấy thịt từ săn bắn! \\ Săn mồi để bộ tộc Patapon có thể ăn. \ Dù điều gì đang xảy ra trên thế giới, \ Patapons cần phải có thịt \ để no bụng! \\ Nếu bạn đã lãnh đạo các Patapon tốt, họ có thể \ để lại một ít thịt làm lễ vật tại đền thờ! \\ Kacheeks cho bạn thịt. da \ Mochichis cung cấp cho bạn thịt mềm. \\ Sau khi bạn đi săn trở về, \ hãy nhớ kiểm tra đền thờ!
tip2_title|Phần thưởng của việc đi săn
tip3_desc|Rừng Patapine nổi tiếng với việc \ dễ dàng bị lạc trong rừng. \\ Những cây to lớn trong rừng là vật liệu hoàn hảo \ cho các tòa nhà kiên cố, do \ độ bền đáng kinh ngạc của chúng. \\ Nhiều tiều phu Patapon dành \ cả đời để thu thập gỗ , \ và những cây mới đang phát triển ở đó mỗi ngày.
tip3_title|Gỗ bền trong Rừng Patapine
tip4_desc|Các lệnh hoàn hảo có vai trò quan trọng\ nếu bạn muốn đạt hiệu quả cao nhất. \\ Sau khi bạn đánh hoàn hảo cả 4 nhịp trống, \ bạn sẽ nghe thấy âm thanh "shwing". \\ Rất nhiều lợi ích đến từ các lệnh hoàn hảo! \ Patapons có thể hành quân nhanh hơn và gây nhiều sát thương hơn . \\ Đó là một kỹ năng hữu ích để học!
tip4_title|Câu lệnh hoàn hảo
tip5_desc|PON PON CHAKA CHAKA tăng sức mạnh cho toàn bộ Patapon. Bạn có thể sử dụng lệnh này về lợi thế của mình! \\ Gây nhiều hơn hai lần sát thương \ khi tấn công! \\ Giảm đáng kể sát thương phải nhận \ khi phòng thủ! \\ Một số quân lính sẽ có những chiêu thức đặc biệt khi được tăng sức mạnh.
tip5_title|Luôn Luôn Chuẩn Bị!
tip6_desc|Wakapon là người giám hộ của Quả trứng Thế giới \ tỏa sáng ở trung tâm của Cầu Patapole. \\World Egg mang lại hòa bình cho thế giới của Patapon. \\ Truyền thuyết nói rằng việc phá vỡ nó \ sẽ giải phóng tất cả tội ác ra khỏi Thế giới ngầm. \\ Wakapon đã hứa với Thần Patapon rằng sẽ bảo vệ World Egg \ bằng mọi giá, giữ gìn nó bằng cả mạng sống của mình.
tip6_title|Wakapon và World Egg
