// # Language: Russian
altar_category_armor|Броня
firstrun_dialog_3|Patafour - это  проект, который находится в активной разработке.\Это не законченный продукт и даже не близок к завершению.
firstrun_dialog_4|Это демо лишь покажет вам основные механики,\что нам пока удалось закончить.
firstrun_dialog_5|Команда Patafour надеется, что\вам понравится наш небольшой проект.
firstrun_dialog_6|Вот основное управление:\Z - Подтвердить (Крест)\X - Отмена (Круг)\Enter - Start\Пробел - Select
firstrun_dialog_7|Вы можете поменять управление\в меню настроек.
firstrun_dialog_8|Мы рекомендуем использовать контроллер,\для большего удобства.
firstrun_dialog_9|Весёлой игры!
item_banal_branch|Простая ветка
item_chaka_drum|Барабан Чака
item_cherry_blossom|Цветущая вишня
item_christmas_charm_2020|Рождественский Оберег 2020
item_digital_blueprint|Цифровой чертёж
item_don_drum|Барабан Дон
item_dream_meat|Мясо Мечты
item_gashirin_bone|Кость Гаширин
item_gizaza_fang|Клык Гизаза
item_hard_iron|Твёрдое Железо
item_hinoki|Хиноки
item_iron_helmet|Железный шлем.
item_iron_spear|Железное копьё
item_itete_fang|Клык Итете
item_kacheek_helm|Шлем Качика
item_kacheek_spear|Копьё Качика
item_keepsake|Драгоценная вещь
item_kirajin_helmet1|Железный шлем Кираджинов
item_kirajin_spear1|Железное копьё Кираджинов
item_kuneri_fang|Клык Кунери
item_leather_meat|Кожистое мясо
item_mudada_bone|Кость Мудада
item_none|Ничего!
item_pata_drum|Барабан Пата
item_pon_drum|Барабан Пон
item_rappata_helm|Шлем Раппаты
item_rappata_spear|Копьё Раппаты
item_santa_hat|Шапка Санты
item_scorching_spear|Поджигающее копьё
item_shubaba_mask|Шуба
item_small_rock|Камень
item_soggy_map|Запачканная карта
item_steel_spear|Стальное копьё
item_strength_helmet|Прочный шлем
item_tender_meat|Нежное мясо
item_titanum_ore|Титановая руда
item_wooden_helmet|Деревянный шлем
item_wooden_spear|Деревянное копьё
kirajin_ambush_1|Внезапная атака!\На позиции!
kirajin_ambush_2|Защищайте башню!\Не дайте им пройти!
kirajin_ambush_3|Роща Патапайн принадлежит Кираджинам!\Мы не дадим вам пройти!
kirajin_ambush_4|Внезапная атака!\Вы не пройдёте ни шагу!
kirajin_ambush_5|Защищайте сторожевую башню\чего бы это не стоило!
kirajin_ambush_6|Это наш шанс!\Уничтожьте их!
kirajin_ambush_7|Нападайте! Они мёрзнут!
kirajin_death_1|Убить... Убить...
kirajin_death_2|Смерть неизбежна!
kirajin_death_3|Мы еще вернемся!
kirajin_death_4|Кира... джин...
kirajin_death_5|Так... холодно...
kirajin_talk_1|Па... Патапоны,\они здесь!
kirajin_talk_10|Мы не можем проиграть!
kirajin_talk_11|Защищайте энергетические кристаллы!
kirajin_talk_12|Вы за это заплатите!\Чертовы Патапоны!
kirajin_talk_13|Вам это так с рук не сойдет!
kirajin_talk_14|Наша месть еще настигнет\вас, Патапоны!!!
kirajin_talk_15|Заморозьте их до смерти!
kirajin_talk_16|Пусть выпадет снег... Пусть выпадет снег...
kirajin_talk_2|Хахаха... глупые Патапоны...\Такие глупые...
kirajin_talk_3|Утёсы Еджиджи от нас\не отобрать!
kirajin_talk_4|Не дайте им подойти близко к\нашему источнику энергии!
kirajin_talk_5|Нападаем! Вам уже конец!
kirajin_talk_6|С вами уже покончено!
kirajin_talk_7|Сдавайтесь! Все кончено!
kirajin_talk_8|
kirajin_talk_9|Сейчас, в атаку!
menu_continue|Продолжить
menu_exit|Выйти
menu_invaliddata|Файл сохранения недействителен или повреждён.
menu_newgame|Новая игра
menu_nodata|Не найдено доступного файла сохранения.
menu_nosupportdata|Файлы сохранения Patafour устаревшей версии или\версии разработки не поддерживаются.
menu_options|Настройки
menu_pressanykey|Нажмите любую клавишу, чтобы начать
menu_saveexists|Найден существующий файл сохранения.\Вы желаете его перезаписать?
mission_backtopatapolis|Вы действительно хотите вернутся в Патаполис?\Все материалы и ка-чинг будут потеряны.
mission_complete|ЗАДАНИЕ ВЫПОЛНЕНО!
mission_failed|ЗАДАНИЕ ПРОВАЛЕНО!
nav_agree|Подтвердить
nav_attack|Атака
nav_cancel|Отмена
nav_changeequip|Смена снаряжения
nav_charge|Усиление
nav_circle|Круг
nav_cross|Крест
nav_defend|Защита
nav_down|Вниз
nav_enter|Войти
nav_entermission|Отправится на миссию
nav_equipitem|Экипировать предмет
nav_exit|Выйти
nav_exittopatapolis|Вернутся в Патаполис
nav_exittotitle|Выйти в главное меню
nav_interact|Взаимодействовать
nav_jump|Прыжок
nav_leave|Уйти
nav_left|Влево
nav_move|Переместиться
nav_navigate|Навигация
nav_navigateitem|Выбор предмета
nav_next|Далее
nav_nextpage|Следующая страница
nav_no|Нет
nav_onward|Вперёд
nav_party|Отряд
nav_previous|Назад
nav_previouspage|Предыдущая страница
nav_retreat|Отступление
nav_returntofield|Вернуться к выбору местности
nav_returntomap|Вернуться к карте Мира
nav_returntopatapolis|Вернутся в Патаполис
nav_right|Вправо
nav_savegame|Сохранить игру
nav_scroll|Пролистать
nav_selectequip|Выберите снаряжение
nav_selectfield|Выберите местность
nav_selectmission|Выберите миссию
nav_selectunit|Выберите юнит
nav_square|Квадрат
nav_startmission|Начать миссию
nav_summon|Призыв
nav_triangle|Треугольник
nav_understood|Понятно
nav_up|Вверх
nav_viewmissions|Просмотреть миссии
nav_yes|Да
newgame_intro_1|Мост на Патаполе наконец завершён,\и мы прибыли на новые земли, нетронутые\ руками Всемогущего Патапона.
newgame_intro_10|Он начал приближаться к нам, но мы спаслись с помощью\древней машины, что мы использовали раньше,\еле вырвавшись из обнадёживающей пасти смерти.
newgame_intro_11|...
newgame_intro_12|О, Всемогущий, услышь меня!\Прошу, проведи нас к Краю Земли!
newgame_intro_13|Спаси наш мир от сил зла\и позволь нам наконец увидеть ЭТО!
newgame_intro_14|Прошу, возьми этот барабан\и да начнётся наш марш вновь!
newgame_intro_2|В этом незнакомом месте, мы обнаружили\руины древней цивилизации,\кажется давно забытой.
newgame_intro_3|В отчаянных попытках найти ЭТО,\мы начали разбираться в древних механизмах\найденных под завалами.
newgame_intro_4|Одним нажатием кнопки, три наших Ярипона,\Герой и я были перемещены в чудное и незнакомое место,\полное дикой природы и отдалённое от цивилизации.
newgame_intro_5|Беспокоясь о наших товарищах, мы попытались вернутся домой\ и, благодоря Всемогущему Патапону, у нас это получилось!
newgame_intro_6|Однако...
newgame_intro_7|По нашему возвращению, мы обнаружили тела\наших союзников. Судя по их ранам\они погибли не так давно.
newgame_intro_8|Небо было кроваво красным\и крики последних выживших были слышны вдалеке.
newgame_intro_9|Мы посмотрели вверх на небо и увидели\ужасающий и мистический силуэт, зловеще парящий над нами.\Его единственный глаз горел негодованием и ненавистью.
npc_sen_1|О, Великий Ками!\Проведи нас к Краю Земли.
npc_sen_10|Кираджины построили ещё одну\крепость на Утёсах Еджиджи.
npc_sen_11|Мы не можем позволить им победить...!\Иди и срази их, Ками!
npc_sen_12|Ты сделал это, Ками! У тебя получилось!\Всё закончилось… Пока что...
npc_sen_13|Я всё ещё не помню,\где я видела их раньше...
npc_sen_2|О, Могучий Ками!\Проведи нас к Краю Земли.
npc_sen_3|О, Могучий Патапон!\Проведи нас к Краю Земли.
npc_sen_4|Множество животных\гуляют по Долине Шида.
npc_sen_5|По слухам, там скрыто\множество сокровищ.
npc_sen_6|Кто-то атаковал Патапонов-дровосеков\в Роще Патапайн!
npc_sen_7|Ярипоны-разведчики сообщают -\ красные, треугольные существа\строят крепость из украденного дерева...
npc_sen_8|”Кираджины”...?\Их так зовут?
npc_sen_9|Кажется, я слышала это\ слово раньше...
npc_wakapon_1|Я - Вакапон! Защитник Яйца Мира\по приказу Ками!
npc_wakapon_10|Отличная работа, Ками! Ты разрушил\их крепость на Утёсах Еджиджи.
npc_wakapon_11|Однако, зло не дремлет.\Кираджины добывают энергию\из странных красных кристалов.\Сломай их чтобы ослабить их армию!
npc_wakapon_2|Добро пожаловать, Ками! Как я рад поговорить\с тобой лично!
npc_wakapon_3|Можешь во мне не сомневаться,\я защищу Яйцо Мира ценой\своей жизни, клянусь!
npc_wakapon_4|Я чувствую что-то злое\пробирающееся в наш мир...
npc_wakapon_5|Ты чувствуешь это, Ками?\Ты защитишь нас от любой\опасности что мы встретим?
npc_wakapon_6|Эти треугольные существа...\Кто они? Что они хотят\от нас, Патапонов?
npc_wakapon_7|Их глаза полны ненависти...\Я боюсь, что это лишь начало.
npc_wakapon_8|Тебя и твоё войско поджидает\непростое испытание, Ками.
npc_wakapon_9|Кираджины располагают технологиями\о которых нам и не снилось.\Ты должен держаться сильным.
options_assign_key|Привязанная клавиша
options_audio|Аудио
options_audio1|Настройки громкости
options_audio1|Настройки громкости
options_audio2|Барабаны
options_audio3|Барабанные выкрики
options_audio4|Отклики Патапонов
options_back|Назад
options_backtomain|В главное меню
options_bigbutton|большая кнопка
options_change_anykey|Нажмите любую клавишу, чтобы привязать её к внутриигровой кнопке
options_change_button|кнопка
options_change_title|Смена привязки клавиши для внутриигровой кнопки:
options_diff1|ЛУЧШИЕ удары
options_diff2|ХОРОШИЕ удары
options_diff3|ПЛОХИЕ удары
options_disable|Выкл.
options_enable|Вкл.
options_graphics|Графика
options_graphics1|Разрешение экрана
options_graphics2|Качество текстур
options_graphics3|Сглаживание
options_graphics4|Ограничение кадров
options_graphics5|Полный экран
options_graphics6|Окно без рамки
options_ingame_btn|Внутриигровая кнопка
options_input|Управление
options_input1|Настройка геймпада
options_input2|Привязки клавиш
options_input3|Конфигурация таймингов (экспериментально)
options_input_setup1|Убедитесь, что геймпад подключен к компьютеру. Нажмите любую кнопку на вашем геймпаде, она должна отобразиться в центре экрана.
options_input_setup10|Нажмите кнопку отвечающую за сдвиг камеры влево (Кнопка L)
options_input_setup11|Нажмите кнопку отвечающую за сдвиг камеры вправо (Кнопка R)
options_input_setup12|Нажмите кнопку START
options_input_setup13|Нажмите кнопку SELECT
options_input_setup14|Всё готово! Ваш геймпад настроен для игры в Patafour.
options_input_setup2|Нажмите кнопку ВЛЕВО
options_input_setup3|Нажмите кнопку ВПРАВО
options_input_setup4|Нажмите кнопку ВНИЗ
options_input_setup5|Нажмите кнопку ВВЕРХ
options_input_setup6|Нажмите кнопку отвечающую за барабан ПАТА (Квадрат)
options_input_setup7|Нажмите кнопку отвечающую за барабан ПОН (Круг)
options_input_setup8|Нажмите кнопку отвечающую за барабан ДОН (Крест)
options_input_setup9|Нажмите кнопку отвечающую за барабан ЧАКА (Треугольник)
options_input_setup_again|Попробуйте ещё раз.
options_input_setup_next|Далее
options_input_setup_notice| кнопка успешно привязана.
options_input_setup_return|Назад в настройки
options_key|клавиша
options_language|Язык
options_language1|Выбор языка
options_language_english|Английский
options_options|Настройки
options_quality_high|Высокое
options_quality_low|Низкое
options_quality_medium|Среднее
options_quality_ultra|Ультра
options_restart_button1|Перезапустить
options_restart_button2|Отменить изменения
options_restart_notice|Для применения изменений требуется перезапуск игры. Перезапустить сейчас?
options_tip1|Подсказка: Наведите на привязанную клавишу курсором или выберите её стрелками,\затем нажмите Крестик, чтобы изменить её .\Нажмите Треугольник, чтобы убрать привязку.\Используйте цифры в верхней части меню для переключения между профилями привязок.
options_tip2|Подсказка: Нажмите любую клавишу для возврата в меню настроек.\Новые привязки клавиш будут сохранены при выходе из меню настроек.
options_tip3|Подсказка: Нажмите START для продолжения.\Нажмите Круг для выхода из настройки контроллера.
options_unlimited|(без ограничений)
options_volume|Громкость:
options_volume1|Общая громкость:
options_volume2|Громкость звуков:
options_volume3|Громкость музыки:
outro_cutscene_1|Спасибо за то, что поиграли в демо!
outro_cutscene_2|Это было удовольствием, создавать Patafour для вас.
outro_cutscene_3|Команда Patafour искренне надеется, что вам понравилось, ведь мы вложили в неё свою душу.
outro_cutscene_4|Кираджины вернутся сильнее чем раньше...
outro_cutscene_5|Сможете ли вы победить их и вернуть Патапонам их дом, Патапол?
outro_cutscene_6|Узнайте Древние Искусства самых первых из племени Патапонов и ведите свою армию к победе.
outro_cutscene_7|Другим племенам понадобится твоя помощь, Всемогущий [PLAYER_NAME]...
outro_cutscene_8|Спасите мир в полной версии Patafour!
outro_end|Спасибо за игру!
patapolis|Патаполис
patapolis_altar|Алтарь
patapolis_barracks|Казарма
patapolis_blacksmith|Кузница
patapolis_demofinish|Поздравляем, вы прошли демоверсию!
patapolis_demo_pick1|Просмотреть титры
patapolis_demo_pick2|Отменить
patapolis_egg|Яйцо Мира
patapolis_festival|Фестивальная площадь
patapolis_obelisk|Обелиск
patapolis_paraget|Парагет
patapolis_returntomain|Вы хотите вернутся\на главный экран?
patapolis_returntomainsave|Несохранённые данные будут потеряны.\Вы уверены?
patapolis_save|Вы хотите сохранить игру?
patapolis_saved|Игра сохранена.
patapolis_sen|Сен Ранпурупон
patapolis_trader|Рынок
patapolis_tree|Матерь, Древо Жизни
patapolis_wakapon|Страж Вакапон
rarepon_normal|Обычный
rarepon_normal_desc|Стандартный воин племени Патапонов. Они славятся своей стойкостью и храбростью. Может они и малы, но с правильным настроем они смогут всё!
tip1_desc|Охотится на качиков в Долине Шида -\древняя традиция Патапонов.\\Эти медлительные звери были едой для племени\сквозь поколения,\а присоединение к охотничьему отряду - первый раз,\когда Патапон держит в руках копьё.\\Хоть качики далеко не так чутки как Мочичи,\стоит дождаться встречного ветра, прежде чем\отправляться на охоту.
tip1_title|Охота на качиков
tip2_desc|Добывайте мясо охотой!\\Охотьтесь, чтобы Патапонам было что поесть.\Что бы не происходило в мире,\Патапонам нужно мясо\для отвязной пирушки!\\Если вы хорошо ими управляли,\Патапоны могут оставить вам немного мяса на Алтаре!\\Качики дают Кожистое мясо.\Мочичи дают Нежное мясо.\\По возвращению с охоты\ не забудьте проверить Алтарь!
tip2_title|Награды за охоту
tip3_desc|Роща Патапайн славится тем, что\в ней проще простого потеряться.\\Высоченные деревья - безупречный материал\для построек, благодаря повышенной прочности.\\Многие Патапоны-дровосеки собирают деревья всё жизнь,\а новые деревья вырастают каждый день.
tip3_title|Прочные деревья в Роще Патапайн
tip4_desc|Чем ближе вы отбиваете в ритм,\тем эффективнее ваша армия.\\Когда вы отбили все четыре удара идеально,\вы услышите специфический звук.\\От идеального ритма много пользы!\Патапоны маршируют быстрее и атакуют сильнее.\\Это полезный навык!
tip4_title|Идеальный ритм
tip5_desc|ПОН ПОН ЧАКА ЧАКА усиливает ваши отряды.\\Используйте эту команду и получите преимущество.\Наносите в два раза больше урона при атаке!\\Намного снизьте получаемый урон при защите!\\Некоторые классы ведут себя по другому при усилении.
tip5_title|Помните про Усиление
tip6_desc|Вакапон охраняет Яйцо Мира,\что сияет в центре Моста Патаполя.\\Яйцо Мира приносит покой в мир Патапонов.\\Легенды гласят, что если сломать его,\на мир обрушится всё зло Преисподнии.\\Вакапон пообещал Ками защищать Яйцо Мира\ценой своей жизни.
tip6_title|Вакапон и Яйцо Мира
tip7_desc|Сен - жрица времён Древних Патапонов.\\Она напрямую связывает Патапонов и Ками,\и прожила множество поколений племени.\\Ранпурупон заботится о каждом Патапоне,\воспитывает и обучает Патапонов-детей.\\Она сделает что угодно для процветания племени.
tip7_title|Сен Ранпурупон в Древнем Патаполисе
tip8_desc|А вы знали что Патапоны тоже отмечают Рождество?\\Во время зимних праздников Патапоны украшают\Патаполис различными красочными украшениями.\\Маленькие Патапоны ожидают Сантапона,\который принесёт им желанные подарки.\\Обычно они просят свое первое оружие, чтобы начать\сражаться за Всемогущего и достичь Края Земли!
tip8_title|Рождество в Патаполисе
tips_anykey|Нажмите любую клавишу, чтобы продолжить
tips_loading|Идёт загрузка
worldmap_header_1|Карта мира Патапонов
worldmap_location_1_description|Сырой морской ветер, дующий в этой долине, создает идеальную среду для самых разных растений, позволяя местным кустам вырастать до невероятных высот. Поколениями племена охотились на животных и собирали овощи в этих плодородных краях. Странный пейзаж гигантских растений может сбить с толку, а слухи гласят, что долина может таить секреты.
worldmap_location_1_title|~ Долина Шида ~
worldmap_location_2_description|Сосны в этой роще известны своими высотами, а также прочностью, в качестве строительного материала. Патапоны-лесорубы часто зарабатывают на жизнь срубая эти деревья для построек. По слухам, в глубине леса, феи пируют съедобными грибами.
worldmap_location_2_title|~ Сосновая роща Патапайн ~
worldmap_location_3_description|Утесы Еджиджи застали эпоху могучих драконов, пока те не пропали со своих родных земель, по неизвестным обитателям Ролитолэнда причинам. Здесь очень удобно построить себе дома и крепости, скрытые от чужих глаз. Рарепоны Гьяба родом из этих мест и некоторые всё ещё тут живут, но многие из них распространились по всему свету.
worldmap_location_3_title|~ Утесы Еджиджи ~
worldmap_location_locked|~ Недоступно ~
worldmap_mission_1_description|Многие животные собираются в долине, чтобы найти себе съедобных растений и грибов. Воспользуйтесь этим случаем и добудьте мяса на пропитание Патапонам! По слухам в долине сокрыто неизвестное сокровище.
worldmap_mission_1_title|Охота в Долине Шида
worldmap_mission_2_description|Кираджины основались в роще Патапайн и построили крепость из прочного местного дерева! Собери войска и разрушь крепость, остерегаясь существ в лесу.
worldmap_mission_2_title|Крепость в лесу
worldmap_mission_3_description|Может вы и победили Кираджинов, но они вернулись, сильнее чем раньше. Они решительно настроены держать позицию, чего бы это не стоило. Разрушьте крепость ещё раз и оттесните войска Кираджинов!
worldmap_mission_3_title|Крепость Кираджинов в роще Патапайн: Уровень 
worldmap_mission_4_description|Разведчики сообщили, что Кираджины начали строить огромную крепость в утесах Еджиджи, чтобы дать отпор силам Патапонов. Судя по отчету, будущая крепость усилена новейшими технологиями Кираджинов, такими, каких Патапоны ещё не видели. Забудьте о страхе, и уничтожьте крепость пока её не достроили.
worldmap_mission_4_title|Передовое вооружение
worldmap_mission_5_description|Несмотря на разрушенную крепость, Кираджины не готовы признавать поражение. Они настроены сражаться за это место, даже ценой своей жизни. Меден с мрачным голосом предупреждает: “Будет ещё сложнее, чем в прошлую битво”.
worldmap_mission_5_title|Неотступные Кираджины в утесах Еджиджи: Уровень 
worldmap_mission_6_description|В это время года, Долина Шида покрыта снегом, и обмораживающие ветра дуют с океана рядом с Мостом Патаполиса. Это отличная возможность для редких зверей, чтобы вылезти из своих нор и поохотиться на рыб подо льдом. Иногда можно наткнуться на очень редкие разновидности...
worldmap_mission_6_title|Заснеженные кусты в Долине Шида
worldmap_select|Выбор задания
// # Translated by: 
// @Kyron Finder
// @Amonimus
// @Fables Ash
// @KyronFinder
// @Amonimus
