// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu
menu_newgame|新游戏
credits_all|以及所有支持过这个项目的人，谢谢你们！
// # New Game Text
newgame_what_is_your_name|欢迎回家，神明大人！你的名字是...？
newgame_name_error_prompt|你的名称限制在2到50个字符
newgame_game_save_created|成功建立存档
newgame_welcome|欢迎，神明大人
newgame_welcome2|准备好游玩PATAFOUR试玩版了吗？
// ## items
item_wooden_spear|木枪
desc_wooden_spear|配给给捕猎队伍里每个适龄新兵的基础木枪，即便将来得到更为强力的武器，木枪也仍然被PATAPON们所珍视，上面留存着不可磨灭的回忆
item_iron_spear|铁枪
desc_iron_spear|坚韧耐用的铁枪，因更重、更容易造成伤害而备受PATAPON们喜爱。然而，只有更加强壮的战士才能装备并驾驭这一武器
item_steel_spear|合金枪
desc_steel_spear|用稀有合金和钢制成的尖枪，这些枪比铁枪更轻，但能造成更大的冲击！
item_kacheek_spear|卡契古枪
desc_kacheek_spear|用卡契古尖牙锻造而成的枪，锋利到足以穿透盾牌，造成致命的伤害
item_shubaba_mask|速霸
desc_shubaba_mask|有着幻影突袭能力的英雄面具，被赋予了一小部分速霸霸萨的攻击能力，能够稍微强化穿戴者的肌肉，让他比其他战士攻击的更快
item_none|什么都没有！
desc_none|Patapon圣坛里一个空荡荡的角落，只摆着一些蜡烛和香薰
item_banal_branch|常见的树枝
desc_banal_branch|普普通通的树枝，但有上进心的PATAPON能够从斧柄到帐篷支杆发掘出许多用途
item_cherry_blossom|樱木
desc_cherry_blossom|在东方的传说中，神明会依附在这古老的硬木之上，象征着爱与希望
item_small_rock|石块
desc_small_rock|随处可见的石头，杂质极多，但对部落生活却至关重要，孩子们喜欢用它打水漂
item_hard_iron|叮叮铁
desc_hard_iron|根据基哥咚的传说记载，
当初曾有许多人为了争夺此稀少金属而流了不少血。PATAPON的传说也记载有祖先在山中开采叮叮铁的秘诀，但早已失传了
item_leather_meat|硬邦邦的肉
desc_leather_meat|“比起味道好坏，能填饱肚子最重要。”年长的PATAPON们时常如此教导晚辈
item_tender_meat|软绵绵的肉
desc_tender_meat|柔软而可口的肉，PATAPON们的最爱，但即使是在他们的生日，也少有机会能吃到
item_pon_drum|PON太鼓
desc_pon_drum|勇气的太鼓，允诺成为Patapon的神明后获得
item_pata_drum|PATA太鼓
desc_pata_drum|力量的太鼓，旗手PON曾以命相护
item_chaka_drum|CHAKA太鼓
desc_chaka_drum|智慧的太鼓
item_don_drum|DON太鼓
desc_don_drum|奇迹的太鼓，鼓声意味着神明的意愿化为现实
item_keepsake|珍藏
desc_keepsake|旗手PON的珍宝。
总能安慰并提醒他，神明会在他最需要的时候降临
item_wooden_helmet|木盔
desc_wooden_helmet|PATAPON部落中传统的木质头盔，是狩猎队伍的标志，尽管设计简单，但仍保护了许多PATAPON的生命
item_iron_helmet|铁盔
desc_iron_helmet|由贵重的合金制成，虽然设计上仿照于木盔，但能提供更有效的保护，
戴上它就会莫名的安心
item_kacheek_helm|卡契古盔
desc_kacheek_helm|这顶用卡契古的毛皮制成的头盔能让穿戴者免受伤害，也能用于保暖，在冬天比其他头盔更受欢迎。
item_mudada_bone|一般的骨头
desc_mudada_bone|显然是小动物的骨头，常在狩猎场或是大型动物的肚子里找到
item_gashirin_bone|坚硬的骨头
desc_gashirin_bone|又粗又硬的骨头，
根据记载，很久以前的原住民们将它拿在手上当做武器
item_kuneri_fang|弯弯的牙
desc_kuneri_fang|弯弯曲曲很漂亮的牙，
可以制成武器，或是当做不错的家具
item_itete_fang|尖尖的牙
desc_itete_fang|又尖又利的大牙，
能够从猎人脖子上佩戴的数量判断其实力如何
item_soggy_map|又湿又脏的地图
desc_soggy_map|在汐达溪谷的宝藏中找到的地图，标记着隐藏的堡垒位置
item_digital_blueprint|数码蓝图
desc_digital_blueprint|在一间位于松林的卡拉锵营房里找到的奇特地图，标记了建造中的卡拉锵先进要塞的位置
item_category_material|素材
item_category_weapon|武器
item_category_masks|面具
item_category_masks|防具
item_category_nothing|无
// ## enemies
enemy_kacheek|卡契古
enemy_mochichi|莫吉吉
enemy_kirajin|卡拉锵
// ## rarepons
rarepon_normal|普通
rarepon_normal_desc|PATAPON部落里普通的战士，以坚毅和勇敢著称，虽然不起眼，但有志者事竟成
// ## navigation
nav_next|继续
nav_previous|返回
nav_nextpage|下一页
nav_previouspage|上一页
nav_enter|进入
nav_leave|离开
nav_exit|退出
nav_savegame|保存游戏
nav_exittotitle|退出到标题界面
nav_left|左
nav_right|右
nav_up|上
nav_down|下
nav_circle|○
nav_triangle|△
nav_square|□
nav_cross|×
nav_move|移动
nav_scroll|滚动
nav_yes|是
nav_no|否
nav_agree|确认
// ## main menu NEW
menu_pressanykey|按任意键开始
menu_saveexists|检测到已有存档存在\确定要覆盖它吗？
menu_nodata|未发现可用的存档
menu_nosupportdata|不支持来自更早或\开发版本的Patafour存档。
menu_invaliddata|存档为无效格式或已损坏
// ## options NEW
options_options|系统设置
options_ingame_btn|游戏内按键
options_assign_key|绑定按键
options_key|按键
options_change_title|更改游戏内按键绑定
options_change_button|按钮
options_change_anykey|请点击你需要重设绑定的按键
options_tip1|提示：使用方向键选择或光标点选你需要更改绑定的按键\按×键开始更改\按△键移除该按键绑定\菜单顶部的数字可用于切换不同的按键绑定预设
options_tip2|提示：按任意键返回系统设置菜单\新的按键绑定设置将在你离开本界面后保存。
options_tip3|提示：按Start健进入下一步\按○键退出控制器设定
options_bigbutton|大按键模式
options_audio1|音频设置
options_volume1|总音量
options_volume2|音效音量
options_volume3|音乐音量
options_input2|键盘按键绑定
// ## intro cutscene NEW
newgame_intro_1|在结束之后，我们走过彩虹桥，\来到了一片新大陆，一片未被\神明大人庇佑的土地。
newgame_intro_2|在这个陌生的地方，我们发现了\一个看起来已被遗忘多时的\古文明废墟。
newgame_intro_3|为了找到 那个东西，\我们开始修复被掩埋在\废墟中的古代机械装置
newgame_intro_4|随着我们按下一个按钮，我跟hero和三个神枪Pon\一同被传送到了一个奇怪而又陌生的地方，\那里充满了野性的自然气息，看不出一丝文明的痕迹。
newgame_intro_5|出于对同伴的担忧，我们倾尽所能，\在神明大人的指引下成功回到了家！
newgame_intro_6|但是……
newgame_intro_7|在返回之后，我们却只看到了\同伴们的尸体，通过对伤口的判断，\我们得知他们是最近才牺牲的。
newgame_intro_8|突然，天空被染成了血红色，\远处还能零星听到幸存者的尖叫。
newgame_intro_9|我们仰望天空，看见了一个不祥的身影\漂浮在我们的头顶，\那是一只充满了愤恨的眼睛。
newgame_intro_10|当它开始逼近时，我们幸运地用\之前使用的古代机械\侥幸逃过一劫。
newgame_intro_11|……
newgame_intro_12|神明大人！我祈求您！\带领我们去到世界尽头吧！
newgame_intro_13|拯救我们的世界于邪恶之中，\让我们得以一督 那个东西！
newgame_intro_14|请拿起这神圣的太鼓，\让我们再度进发！
// ## first run NEW
firstrun_dialog_1|欢迎来到Patafour试玩版！\请按确认键（默认Z键）继续。
firstrun_dialog_2|这是您第一次游玩，\所以请了解一些\我们为您准备的基本信息。
firstrun_dialog_3|Patafour是一个尚在锐意开发当中的项目，\本试玩并非是最终的成品，\任重而道远。
firstrun_dialog_4|本试玩版将为您展示迄今为止\我们所开发完成的大部分\核心及基本功能。
firstrun_dialog_5|Patafour团队衷心希望您能喜欢\这个微小的项目。
firstrun_dialog_6|以下是系统默认操作：Z：确认（×）；X：取消（○）；Enter键：Start；空格键：Select
firstrun_dialog_7|您可以在系统设置菜单里\随时更改这些设置。
firstrun_dialog_8|我们建议使用手柄游玩来获得最佳游玩体验。
firstrun_dialog_9|祝您玩得开心！
patapolis_returntomain|你确定要回到\标题界面吗？
patapolis_returntomainsave|未保存的话将会遗失\进度，确定要继续吗？
patapolis_save|是否保存游戏进度？
patapolis_saved|游戏已保存。
patapolis_demofinish|恭喜！你已成功通关了试玩！
patapolis_demo_pick1|观看制作人员名单
patapolis_demo_pick2|取消
patapolis_sen|森潞
// ## npc dialogue NEW
npc_wakapon_1|我是哇咔PON！\奉神明大人之命守护着世界蛋！
npc_wakapon_2|欢迎！神明大人！\非常荣幸能与您交谈！
npc_wakapon_3|放心，我会不惜一切\代价保护世界蛋的，我发誓！
npc_wakapon_4|我感觉到有邪崇之物\降临到这个世界……
npc_wakapon_5|您也察觉到了吗，神明大人？\您会……保护我们的吧？
npc_wakapon_6|这些三角状的家伙是谁……\他们想做什么？
npc_wakapon_7|他们的眼睛里满是憎恨\恐怕这只是个开始。
npc_wakapon_8|一场艰险的任务正等着\神明大人您和您的部队。
npc_wakapon_9|卡拉锵拥有不属于\这个世界的科技，\神明大人务必做好心理准备。
npc_wakapon_10|精彩绝伦，神明大人！\你摧毁了艾吉龙峭上的要塞。
npc_wakapon_11|不过邪恶不会善罢甘休\卡拉锵们正从怪异的红色水晶中汲取能量，\破坏水晶，削弱他们吧！
npc_sen_1|伟大的神明大人！\请带领我们前往世界尽头。
npc_sen_2|全知的神明大人！\请带领我们前往世界尽头。
npc_sen_3|强大的Patapon们！\请带领我们前往世界尽头。
npc_sen_4|有许多动物正徘徊在汐达溪谷呢。
npc_sen_5|传言说那片土地下\埋有无数珍宝。
npc_sen_6|有什么东西在啪嗒松林里\袭击了樵夫Pon们！ 
npc_sen_7|神枪Pon斥候说\有红色的三角状家伙正用\偷来的木料建造堡垒……
npc_sen_8|“卡拉锵”……？这是\他们的称呼吗？
npc_sen_9|我感觉以前听过这个名字……
npc_sen_10|卡拉锵们又在艾吉龙峭上建造了一座要塞。
npc_sen_11|绝不能让他们得逞，\击垮他们吧，神明大人！
npc_sen_12|我的天呐！你做到了！\终于告一段落……。
npc_sen_13|但我还是想不起来\自己曾在哪里见过他们。
// ## altar NEW
altar_category0|素材
altar_category1|枪
altar_category2|面具
altar_category3|头盔
altar_category4|关键道具
// ## barracks NEW
barracks_yaripon|神枪PON
barracks_unit_status|状态
barracks_stat_level|等级
barracks_stat_exp|经验
barracks_stat_hp|生命值
barracks_stat_damage|攻击力
barracks_stat_attackspeed|攻击速度
barracks_stat_critchance|暴击发生率
barracks_stat_knockbackchance|击退发生率
barracks_stat_staggerchance|晕眩发生率
barracks_stat_burnchance|着火发生率
barracks_stat_freezechance|冻结发生率
barracks_depart|确定要出发吗？
// ## items NEW
item_titanum_ore|金钛矿
desc_titanum_ore|传说这种轻盈坚硬又经久耐用的矿石是神明带来的礼物，是制作速度型装备的完美材料。
item_hinoki|桧若基
desc_hinoki|传说神明的居所就由这种神圣的桧木打造，当Patapon们进入由这种珍惜木材搭建的房子里时，会感到身心俱松。
item_gizaza_fang|粗糙的牙
desc_gizaza_fang|有着无数倒刺的尖牙，一旦被这种牙齿刺穿，即便是Patapon的神医也回天乏术。
item_dream_meat|梦幻肉
desc_dream_meat|传说般的肉，这种有着大理石纹路的肉会如同棉花糖般融化，不过Patapon们更希望大快朵颐。若有谁每天都能吃到，此生都将愉悦而宁静。
item_scorching_spear|火焰枪
desc_scorching_spear|赋予的魔法使它的枪尖烧得通红，在造成强劲伤害的同时，还能让战场充斥着一股……烤牛肉的味道。
item_strength_helmet|力之盔
desc_strength_helmet|涂有波波火山赤红焦油的魔法头盔，可以大幅提升穿戴者的攻击力。
item_kirajin_helmet1|卡拉锵的铁盔
desc_kirajin_helmet1|由未知材料（可能是铁）制成的锥形头盔，为使用者提升了非比寻常的属性。能够提升生命值和攻击力。
item_kirajin_spear1|卡拉锵的铁枪
desc_kirajin_spear1|由未知材料（可能是铁）制成的枪。即便只是轻轻一碰，也会被枪尖刺伤。
// ## navigation NEW
nav_understood|了解咯
// ## tips NEW
tips_anykey|按任意键继续
tips_loading|加载中
tip1_title|狩猎卡契古吧！
tip1_desc|在汐达溪谷狩猎卡契古\是Patapon们的古老传统\\这些行动迟缓的动物养活了\数个世代的Patapon部落，\许多Patapon往往是在狩猎队里\首次挥动手中的枪\\尽管嗅觉远不如\会飞的莫吉吉们，\但仍应在下风处接近它们。
tip2_title|狩猎的回报
tip2_desc|从狩猎任务中获取肉吧！\\抓住的猎物能让patapon部落吃顿饱饭\即便世事无常，填饱肚子还是最重要的\Patapon们会把肉保存在供奉圣坛里哦！\\卡契古身上的是 硬邦邦的肉\莫吉吉身上的是 软绵绵的肉\\当您从狩猎中归来，\别忘了看看圣坛！
tip3_title|啪嗒松林里的坚木
tip3_desc|在啪嗒松林里是很容易迷路的。\\这些巨大的木头因挺拔和坚固而成为\绝佳的建筑材料。\\许多樵夫Pon们毕生都在收集这些实用的木材\而这里每天都会有新的树木破土而出。
tip4_title|完美指令
tip4_desc|打出完美的节奏是得到\绝妙效果的关键\\每当你完美敲击4个节拍的时候，\都会听到“锵”的一声\\完美指令能给你带来好处，\patapon们的行进速度和攻击伤害都会得到提升\\实用且关键！
tip5_title|别忘了蓄力！
tip5_desc| 用PON PON CHAKA CHAKA\给你的部队蓄力。\\你可以借此抢占上风！\\蓄力后攻击时会造成两倍以上的伤害\\防御时受到的伤害会大幅降低。\\有些兵种甚至会在蓄力后出现特殊行动。
tip6_title|哇咔PON与世界蛋
tip6_desc|哇咔Pon是彩虹桥中央\闪闪发亮的世界蛋的守护者。\\世界蛋守护着patapon世界的祥和。\\传说世界蛋被打破后\会释放来自魔界的邪崇\\哇咔pon向神明保证，誓死守卫世界蛋。
tip7_title|古部落里的森潞
tip7_desc|森潞曾是古代Patapon部落里的祭司。\\她在数个世代以来都作为patapon和神明的代言人。\\照料并教育年幼的patapon们，\她会为了Patapon部落壮大倾其所有。
// ## mission data NEW
kirajin_ambush_1|突袭！\解决他们！
kirajin_ambush_2|守住哨塔！\别让他们突破了！
kirajin_ambush_3|啪嗒松林是我们卡拉锵的！\休想通过！
kirajin_ambush_4|突袭！\你们到此为止了！
kirajin_ambush_5|誓死守住哨塔！
kirajin_ambush_6|机会来了！\解决他们！
kirajin_talk_1|Pa…tapon？\他们在这！
kirajin_talk_2|桀桀桀...愚蠢至极，\Patapon们...
kirajin_talk_3|艾吉龙峭是我们的！\休想夺走。
kirajin_talk_4|别让他们接近\能量核心！
kirajin_talk_5|进攻！你们死定了！
kirajin_talk_6|这就是你们的\葬身之地！
kirajin_talk_7|投降吧！\你们完蛋了！
kirajin_talk_8|该死的Patapon
kirajin_talk_9|沉住气...准备...
kirajin_talk_10|就是现在！\进攻！
kirajin_talk_11|我们绝不认输！
kirajin_talk_12|保护能量水晶！
kirajin_talk_13|你们会为此付出代价的！\下地狱吧！Patapon!
kirajin_talk_14|你们逃不掉的！
kirajin_talk_15|我们一定会报仇的！\Patapon！！！
kirajin_death_1|杀…杀……
kirajin_death_2|呀！没闪掉
kirajin_death_3|我们会回来的！
kirajin_death_4|卡...卡拉...锵...
mission_backtopatapolis|确定要返回基地吗？\你将会失去收集的装备和素材。
// ## christmas event NEW
tip8_title|古部落里的圣诞庆典！
tip8_desc|你知道吗？PATAPON也会庆祝圣诞节！\\每每圣诞期间，PATAPON们\会给部落装点起五颜六色的装饰\\而小PATAPON们则会翘首期盼\满载着心愿礼物的圣诞pon到来\\通常他们都会得到自己的第一把武器，\开始自己去往世界尽头，为神明而战的征程！
item_rappata_spear|拉帕帕枪
desc_rappata_spear|一种用拉帕帕骨头制成的尖枪\极为轻便\能够干净利落的一击刺穿多个目标
item_rappata_helm|拉帕帕毛盔
desc_rappata_helm|这种由拉帕帕皮毛制成的头盔在保证灵活性的前提下，还提供了优秀的保暖功能
item_christmas_charm_2020|圣诞饰品2020
desc_christmas_charm_2020|把这放在仓库里会给你带来一整年的好运！\感谢您参与2020年PATAFOUR冬季庆典！
item_santa_hat|圣诞帽
desc_santa_hat|PATAPON奶奶们编织的舒适帽子，无论是谁戴上都能感到满溢的喜悦和温暖。强效防寒。
worldmap_mission_6_title|银装素裹的汐达溪谷
worldmap_mission_6_description|每年这个时候，来自彩虹桥的临海寒流都会让这里盖上厚厚的一层积雪，这对那些离巣捕猎的珍稀动物而言正是在冰下猎鱼的绝佳机会。有时候，更加珍稀的物种会随之出现……
kirajin_talk_15|冻死他们！
kirajin_talk_16|雪花飘！雪花飘！
kirajin_ambush_7|进攻！他们肯定冻僵了！
kirajin_death_5|好...冷...
// # Add your name here if you worked on the translation!
// # name1 @纯洁的菲那
// # name2 @7君
// # name3 @永远的盾拉杰
// # name4 @短信蛾
// # name5 @LanT
// # name6 @冥蓝幽风
// # name7 @Mr.F
// # name8 @Hammer Princess Meden
