// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu
menu_newgame|ニューゲーム
desc_pon_drum|勇気の太鼓。パタポンの神さまになる契約書に同意する事で手に入れた。
item_pata_drum|パタの太鼓
desc_pata_drum|力の太鼓。はたポンが命がけで守っていた？
item_chaka_drum|チャカの太鼓
desc_chaka_drum|知恵の太鼓。
item_don_drum|ドンの太鼓
desc_don_drum|奇跡の太鼓。この太鼓の鼓動は全能者の意思を具現化させる力を持つと言われている。
item_keepsake|家宝
desc_keepsake|はたポンの家宝。いつもはたポンを支え、彼が1番必要としているときにかみさまが来てくれるという事を思い出させてくれた。
item_wooden_helmet|木のヘルム
desc_wooden_helmet|パタポン族の伝統的な木のヘルム。
パタポン族のトレードマークであり、シンプルなデザインでありながらも多くのパタポン族の命を救ってきた。
item_iron_helmet|鉄のヘルム
desc_iron_helmet|貴重な鉄で作られたこのヘルムは、木のヘルムと似たデザインを採用しているが、より強固に攻撃から守ってくれる。
item_kacheek_helm|カーチクのヘルム
desc_kacheek_helm|このヘルムは、カーチクの毛皮から作られており、着用者を危険から守ってくれる。また、着用者を温め、寒いところにいても居心地を良くしてくれる。
item_mudada_bone|むだだ骨
desc_mudada_bone|小さな動物の骨。大きな獣にやられたのだろう、草むらの中でもよく見つけることができる。
item_gashirin_bone|がしりん骨
desc_gashirin_bone|硬くて太い骨。むかしむかしの先住民たちはこの骨を手に持ち武器として使ったと記されている。
item_kuneri_fang|くねり牙
desc_kuneri_fang|くねくねと曲がっている立派な牙。削りだして武器にしてもいいし調度品としても役に立つ。
item_itete_fang|いてて牙
desc_itete_fang|鋭く先端が尖っている大牙。この牙を昔からいくつぶら下げているかで狩人としての実力がわかるとされる。
item_soggy_map|ふやけた地図
desc_soggy_map|シダ渓谷で発見された、埋もれていた宝箱から得た入手した地図。隠された要塞の位置を示している。
item_digital_blueprint|デジタル設計図
desc_digital_blueprint|パタパイン木立のキラジンの小屋の中で発見された設計図。建設予定のキラジン要塞の位置を示している。
item_category_material|素材
item_category_weapon|武器
item_category_masks|マスク
item_category_masks|防具
item_category_nothing|空白
// ## enemies
enemy_kacheek|カーチク
enemy_mochichi|モッチチ
enemy_kirajin|キラジン
// ## rarepons
rarepon_normal|ノーマル
rarepon_normal_desc|パタポン族の普通の戦士。彼らはストイックで勇敢なことで知られている。これらのパタポン族は小さいかもしれないが、正しい考え方さえ持っていれば、何でもできるのだ。
// ## navigation
nav_next|次へ
nav_previous|前へ
nav_nextpage|次のページへ
nav_previouspage|前のページへ
nav_enter|入る
nav_leave|出る
nav_exit|戻る
nav_savegame|セーブする
nav_exittotitle|タイトルへ戻る
nav_left|左
nav_right|右
nav_up|上
nav_down|下
nav_circle|○
nav_triangle|△
nav_square|□
nav_cross|✖︎
nav_move|移動
nav_scroll|スクロール
nav_yes|はい
nav_no|いいえ
nav_agree|同意
// ## main menu NEW
menu_pressanykey|続行するために何かキーを押してください
menu_saveexists|既にセーブデータが存在しています。上書きしますか？
menu_nodata|データがありません。
menu_nosupportdata|古いバージョンや開発版のPatafourからのデータ保存はサポートされていません。
menu_invaliddata|セーブデータが無効、或いは破損しています。
// ## options NEW
options_options|オプション
options_ingame_btn|ゲーム内ボタン
options_assign_key|割り当て済みのキー
options_key|キー
options_change_title|ゲーム内ボタンの割り当てキーの変更
options_change_button|ボタン
options_change_anykey|任意のキーを押すと、ゲーム内ボタンに割り当てられます
options_tip1|割り当てられたキーにマウスでカーソルを合わせるか、矢印キーで選択し、十字ボタンを押して変更します。\三角ボタンを押すと、割り当てられたキーが削除されます。\
メニュー上部の数字を使って、キーバインドプリセットを切り替えることができます。options_tip2|いずれかのキーを押すと、オプションメニューに戻ります。\オプションメニューを終了すると、新しいキーバインドが保存されます。
options_tip3|キーボードのStartボタンを押して続行します。\○ボタンを押して、コントローラのセットアップを終了します。options_bigbutton|ビッグボタン
options_audio1|ボリューム設定
options_volume1|マスターボリューム
options_volume2|サウンドボリューム
options_volume3|ミュージックボリューム
options_input2|キーバインド
// ## intro cutscene NEW
newgame_intro_1|パタポーラ橋の増長を終えたパタポン達は、\新たな地へと辿り着きました。\それは、未だかみさまでさえ手付かずの新天地。
newgame_intro_2|この見慣れない地で、\パタポン達は長い間忘れ去られていたと思われる\古代文明の遺跡を発見しました。
newgame_intro_3|先端技術を必死に探し\瓦礫の中に埋もれていた\古代のメカニズムをいじり始めました。
newgame_intro_4|ボタン1つ押しただけで3体のやりポン、ヒーロー、そして私は\文明のなさそうな\自然と野生動物の溢れた\見知らぬ異様な場所に飛ばされてしまいました。
newgame_intro_5|心配していた仲間の事を想い\何とか帰ろうとした結果\かみさまのおかげで無事に戻る事に成功しました。
newgame_intro_6|しかし...
newgame_intro_7|帰還してみると\そこには仲間の遺体が...\この傷口は...恐らく最近のものだと思われます。
newgame_intro_8|空は真っ赤に染まり\数少ない生存者と思われる悲鳴が\遠くから聞こえてきました。
newgame_intro_9|空を見上げると\不吉に空に浮かんでいる\謎の部族に遭遇しました。\その特異な目には恨みと憎しみで満たされているようでした。
newgame_intro_10|彼らが徐々に迫ってきましたが\幸い先ほどいじっていた古代の機会に助けられ\かろうじて絶望的な死から逃れる事ができました。
newgame_intro_11|...
newgame_intro_12|かみさま、おねがいです。\私たちを世界の果てへ導いてください。
newgame_intro_13|悪から世界を救い、そしてこの先端技術を調べましょう！
newgame_intro_14|その聖なるタイコを手に取り、もう一度私たちを導いてください！
// ## first run NEW
firstrun_dialog_1|Patafour体験版へようこそ！\Zキーを押して続行してください。
firstrun_dialog_2|初めてこの体験版を起動した方向けに\基本的な情報をお伝えしています
firstrun_dialog_3|Patafourは現在積極的に開発されているプロジェクトです。\これは最終製品ではありませんし、また完成にも程遠いものです。
firstrun_dialog_4|この体験版では、これまでに完成した基本的な核にあたる部分のほとんどをお見せしています。
firstrun_dialog_5|Patafourチームは、あなたが私達のこの小さなプロジェクトを\気に入ってくれると願っております。
firstrun_dialog_6|こちらは基本的な操作です。\Z-確認(×)\X-キャンセル(○)\Enter-start\space-select
firstrun_dialog_7|これらはオプションにて\設定を変更する事ができます。
firstrun_dialog_8|快適にプレイして頂く為に\コントローラーの使用をお勧めしています。
firstrun_dialog_9|それではPatafourを楽しんで下さいませ！
patapolis_returntomain|タイトルへ戻りますか？
patapolis_returntomainsave|セーブしていないデータは失われます。\よろしいですか？
patapolis_save|セーブしますか？
patapolis_saved|セーブが完了しました
patapolis_demofinish|おめでとう！体験版をクリアしました！
patapolis_demo_pick1|クレジットを見る
patapolis_demo_pick2|キャンセル
patapolis_sen|せん・らんぷるポン
// ## npc dialogue NEW
npc_wakapon_1|私はわかポン！かみさまの命でせかいの卵を守っています！
npc_wakapon_2|ようこそ、かみさま！あなたと話が出来てとても嬉しいです！
npc_wakapon_3|せかいの卵は私が命がけで守ります！任せてください！
npc_wakapon_4|この世界に邪悪な何かが\近づいています...
npc_wakapon_5|かみさまも感じますか？\この得体の知れない危険から\私たちを守ってくださいませんか？
npc_wakapon_6|あの三角の生き物は...なんでしょうか？\私たちパタポン族に\何を求めているのでしょう？
npc_wakapon_7|彼らの目は憎しみで満たされていますね...\残念ながら、これは始まりに過ぎないようです。
npc_wakapon_8|危険なクエストが\あなたとあなたの部隊を待っています。
npc_wakapon_9|あのキラジン族はこの世界のものではない\特殊な技術を持っています。\どうか、お気を付けて。
npc_wakapon_10|お見事です、かみさま！\エッジッジ断崖の要塞の破壊に成功しました！
npc_wakapon_11|しかし、あの悪魔たちは決して退こうとしません。\キラジン族は奇妙な赤い結晶から\エネルギーを集めているようです。/それらを破壊してキラジン族を弱らせましょう！
npc_sen_1|ああ、素晴らしきかみさま！\我らを世界の果てへお導き下さい！
npc_sen_2|ああ、かみさま！\我らを世界の果てへお導き下さい！
npc_sen_3|ああ、パタポン族よ！\我らを世界の果てへお導き下さい！
npc_sen_4|シダ渓谷にはたくさんの動物が生息しています。
npc_sen_5|噂によりますと、\そこには無数の宝が埋まっているそうです！
npc_sen_6|パタパイン木立にいた木こりパタポンが\何者かに襲われたそうです！
npc_sen_7|やりポン偵察兵の報告によると、\赤い三角の生き物が盗んだ木材で\要塞を築いているとのことです...
npc_sen_8|キラジン族...？それが奴らの名前なのですか...？
npc_sen_9|そんな名前今まで\聞いたことがありませんね...
npc_sen_10|キラジン族がエッジッジ断崖に\別の要塞を築いていました！
npc_sen_11|奴らに負けるわけにはいきません...！\打ち倒しましょう！
npc_sen_12|やった...！やりました！これでもう終わったんですね...
npc_sen_13|どこかで見たことがあるような気がしますが...\思い出せません...
// ## altar NEW
altar_category0|素材
altar_category1|槍
altar_category2|マスク
altar_category3|ヘルム
altar_category4|キーアイテム
// ## barracks NEW
barracks_yaripon|
barracks_unit_status|やりポン
barracks_stat_level|レベル
barracks_stat_exp|経験値
barracks_stat_hp|体力
barracks_stat_damage|攻撃力
barracks_stat_attackspeed|攻撃速度
barracks_stat_critchance|クリティカル率
barracks_stat_knockbackchance|ノックバック率
barracks_stat_staggerchance|よろめき率
barracks_stat_burnchance|着火率
barracks_stat_freezechance|氷結率
barracks_depart|出撃しますか？
// ## items NEW
item_titanum_ore|チタン鉱
desc_titanum_ore|かつて神がパタポン達にもたらしたと言い伝えられる伝説の鉱石で、軽量かつ高強度。それ故に、速い動きを必要とするクラスにとって完璧な装備材料となる。
item_hinoki|ヒノッキー
desc_hinoki|かつて神が住んだとされる家はヒノッキーで作られた希少で神聖な木材。そんな建物の中にいる時の安心感は凄まじい。
item_gizaza_fang|ぎざざ牙
desc_gizaza_fang|歯先に小さな返しが無数についている剛牙。この牙で噛みつかれでもしたらとても無事では済まないだろう。
item_dream_meat|じょじょ肉
desc_dream_meat|伝説の霜降り肉。ほおばった瞬間にとろけ、食べた気がしないとパタポンには不評らしい...
item_scorching_spear|もえる槍
desc_scorching_spear|この槍にかけられた魔法により先端が炎と化す。大ダメージを与え敵を着火させる。敵からはローストビーフのような香りが...
item_strength_helmet|力のヘルム
desc_strength_helmet|火吹き山ボーボで採れる赤い藻から作られる塗料でコーティングされた魔法のヘルム。攻撃力を大幅に上げてくれる。
item_kirajin_helmet1|キラジンの鉄のヘルム
desc_kirajin_helmet1|鉄かと思われる不特定の資源で作られた三角形のヘルム。着用した者に不思議な力を与え、体力と攻撃力を向上させる。
item_kirajin_spear1|キラジンの鉄の槍
desc_kirajin_spear1|鉄と思われる珍しい素材で作られた槍。その先端は信じられないくらい鋭く、そっと手で触れただけでも簡単に貫通する。
// ## navigation NEW
nav_understood|了解
// ## tips NEW
tips_anykey|Press any key to continue
tips_loading|Now loading
tip1_title|カーチクを狩ろう
tip1_desc|シダ渓谷でのカーチク狩りは\パタポン族の古くからの伝統だ。\\ゆっくりと動くこの獣の肉は\何世代にも渡ってパタポン族を養ってきたが、\多くのパタポンが初めて槍を手に\狩りを経験する場にもなる。\\カーチクの嗅覚は飛び回るモッチチ程強くなく、\向かい風の時に狙えばパタポンの匂いに\気付くことは出来なくなる。
tip2_title|狩りの報酬
tip2_desc|狩りで肉を手に入れよう！\\獲物を狩ってパタポン族に食料を与えよう。\世界がどうなるにしても、\パタポン族は肉で腹を満たされていなくてはならない。\\うまくパタポン族を導くことが出来ていたら、\パタポン族がアルタルに肉を\捧げてくれるかもしれない。\\カーチクからはがちがち肉が、\モッチチからはふく〜ら肉が手に入る。\狩りから戻ったら\アルタルを確認してみるといい。
tip3_title|パタパイン木立の頑丈な木材
tip3_desc|パタパイン木立は迷子のなりやすさで有名である。\\巨大な木は信じられないくらいの耐久性を誇り、\丈夫な建物の材料として最適である。\\多くの木こりパタポン達はこれらの木材を\集めることに生涯を費やしており、\毎日新しい木が育っているのである。
tip4_title|パーフェクトコマンド
tip4_desc|ジャストタイミングでコマンドを出す事が\最高のパフォーマンスを出す鍵だ。\\4つの音色を全てジャストで叩くと\「シャーン♪」という音がする。\\これにより様々な恩恵を受けることができるぞ！\パタポン族が早く歩けたり、\より多くのダメージを与えることができるようになる。\\覚えておくと便利なテクニックだ。
tip5_title|ためろ　を忘れるな！
tip5_desc|PON PON CHAKA CHAKA で　ためろ　の指示を出せる。\\このコマンドでクエストを有利に進めよう！\\攻撃時には2倍以上のダメージを与えることができるぞ！\\防御時には大幅に受けるダメージを減らすこともできる！\\一部のクラスはためる時に特殊な挙動をするものがあるぞ。
tip6_title|わかポンとせかいの卵
tip6_desc|わかポンは、パタポーラ橋の中心で輝く\せかいの卵の守護者だ。\\せかいの卵はこのパタポンの世界に平和をもたらす。\\しかし伝説によると、それを壊すことで\冥界の悪魔が解放されてしまうのだとか。\\わかポンはかみさまに、命をかけて\せかいの卵を守ると誓ったのだ。
tip7_title|せん・らんぷるポンと古代パタポリス
tip7_desc|せんは古代パタポン時代の巫女だ。\\パタポン族とかみさまを直接結びつけ\何世代にも渡って生きてきた。\\彼女はその何世代にも渡る\パタポン族の子供達を教育している。彼女はパタポン族の成長のためなら\何でもやってくれる。
// ## mission data NEW
kirajin_ambush_1|奇襲だ！\配置につけ！
kirajin_ambush_2|その塔を守れ！\奴らを通すな！
kirajin_ambush_3|パタパイン木立は我らをキラジン族のものだ！\貴様らは通さんぞ！
kirajin_ambush_4|奇襲だ！\これ以上は踏み込ませないぞ！
kirajin_ambush_5|その塔を守れ！\何が何でもだ！
kirajin_ambush_6|チャンスだ！\奴らを破壊せよ！
kirajin_talk_1|パ...パタポン族が\来たぞ！！
kirajin_talk_2|へへへ...愚かなパタポン族だ...\実に愚かだ...
kirajin_talk_3|エッジッジ断崖は\渡さないぞ！
kirajin_talk_4|このエネルギー源に近づくな！！
kirajin_talk_5|攻めろ！貴様らは今ここで朽ち果てるのだ！
kirajin_talk_6|これで終わりだ！
kirajin_talk_7|諦めろ！これで終わりだ！
kirajin_talk_8|我らはパタポン族が嫌いだ！
kirajin_talk_8|まだ待て...準備しろ...
kirajin_talk_9|今だ！やれ！！
kirajin_talk_10|我らに敗北などない！
kirajin_talk_11|エネルギー結晶を守るんだ！
kirajin_talk_12|代償を払うがいい！\呪われろ！パタポン！
kirajin_talk_13|これでは逃げられないぞ！
kirajin_talk_14|復讐してやるぞ！\パタポン族め！！
kirajin_death_1|殺せ...殺せ...
kirajin_death_2|死は避けられない...！
kirajin_death_3|覚えてろよ！
kirajin_death_4|キラ...ジン...
// ## christmas event NEW
tip8_title|クリスマスのパタポリス
tip8_desc|パタポン族もクリスマスを祝うんだって知ってた？\\この時期になるとパタポン達は\カラフルな装飾でパタポリスを彩るんだ。\\小さなパタポン達は願い事を叶えてくれるサンタポンが\やって来るのを楽しみにしてるんだ。
item_rappata_spear|ラッパパの槍
desc_rappata_spear|ラッパパの骨で作られた鋭い槍。信じられないほど軽く、多くの敵を一度で貫くことができる。
item_rappata_helm|ラッパパのヘルム
desc_rappata_helm|ラッパパの毛皮を使用したヘルムで、身軽さと防寒性を兼ね備えている。
item_christmas_charm_2020|クリスマスチャーム2020
desc_christmas_charm_2020|このチャームを持っていると1年の運気を上昇してくれます！Patafourウィンターイベント2020のご参加、ありがとうございました！
item_santa_hat|サンタ帽子
desc_santa_hat|パタポン族のおばあちゃん達が編み上げた帽子。被っている者に沢山の喜びと暖かさを与えてくれる。また寒さからの強く守ってくれる。
worldmap_mission_6_title|雪に包まれたシダ渓谷
worldmap_mission_6_description|この時期になるとパタポーラ橋側の海から凍てつく風が吹くため、シダ渓谷は雪に覆われる。レアな動物達が巣から現れ、氷の下にいる魚を狩る絶好な機会のよう。本当に希少種が現れることも...？
kirajin_talk_15|奴らを凍らせて殺せ！
kirajin_talk_16|雪を降らせ...雪を降らせ...
kirajin_ambush_7|攻撃だ！奴らを凍らせろ！
kirajin_death_5|ちょー...さみぃ...
// ## Put your name here if you worked on the translation :)
// ## <your name here>
// ## @Karm
// ##
