// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
// english_word|English word
// polish_word|Polskie słowo
// Good luck!
// ## main menu
menu_newgame|Nouvelle partie
worldmap_location_2_description|Les pins de ce bosquet sont réputés pour leur hauteur gargantuesque et leur robustesse lorsqu’ils sont utilisés comme matériau de construction. Les Patapon bûcherons sont connus pour pour gagner leur vie ici en coupant ces arbres pour la construction. La rumeur veut que des fées prospèrent des champignons comestibles dans les profondeurs de la forêt.
worldmap_location_3_title|~ Les falaises d’Eijiji ~
worldmap_location_3_description|Les falaises d’Ejiji ont vu de nombreux dragons avant qu’ils ne disparaissent de leur lieu de naissance pour des raisons inconnues des habitants de Rolitoland. Elles constituent un bon endroit pour construire des maisons et des forteresses à l’abri des regards. Les Gyaba Rarepons sont issus de cette région et certains habitent encore les falaises à ce jour, mais nombre de cette lignée de Patapon sont, depuis, éparpillée dans le monde.
worldmap_mission_1_title|Chasse dans la Vallée Shida
worldmap_mission_1_description|De nombreux animaux se rassemblent dans la vallée pour avoir la chance de trouver des plantes et des champignons comestibles. Profitez de cette occasion pour chasser les créatures pour nourrir vos Patapons ! Les rumeurs disent que la vallée détient un trésor inconnu.
worldmap_mission_2_title|Forteresse dans les bois
worldmap_mission_2_description|Les Kirajins se sont installés dans le Bosquet Patapine ! En utilisant le bois solide des arbres environnants, ils ont construit une forteresse. Rassemblez vos forces et abattez la forteresse tout en vous méfiant des créatures de la forêt !
worldmap_mission_3_title|Forteresse de Kirajin - Bosquet Patapine : Niv.
worldmap_mission_3_description|Les Kirajins ont peut-être été vaincus une fois, mais ils sont revenus, plus forts que jamais. Ils sont déterminés à maintenir cette position à n’importe quel prix. Battez la forteresse une fois de plus pour repousser les forces Kirajins !
worldmap_mission_4_title|Armements avancés
worldmap_mission_4_description|Les éclaireurs Patapons ont rapporté qu’au sein des falaises d’Ejiji, les Kirajins ont commencé la construction d’une énorme forteresse qui servira de base d’opérations contre les forces Patapons. Selon les rapports, la future forteresse est renforcée par une puissante technologie jamais vu auparavant. Soyez courageux, n’ayez pas peur et détruisez cette forteresse avant qu’elle ne soit terminée.
worldmap_mission_5_title|Kirajins implacables aux falaises d'Ejiji : Niv.
worldmap_mission_5_description|Même après avoir détruit une fois leur forteresse, les Kirajins ne se laisseront plus perdre une fois de plus. Ils sont déterminés à se battre pour cet endroit même si cela leur coûte la vie. Meden prévient d’un ton sombre dans sa voix “Ce sera encore plus difficile que la dernière bataille”.
// ## missiondata
mission_complete|MISSION REUSSIE !
mission_failed|MISSION ÉCHOUÉE !
intro_cutscene_1|Bienvenue dans la première version démo de Patafour !
intro_cutscene_2|Cette démo propose de nombreux contenus avec lesquels jouer, ainsi que quelques secrets cachés. Saurez-vous tous les trouver ?
intro_cutscene_3|Oh Puissant Patapon, je t’en supplie...
Intro_cutscene_4|La tribu Patapon a plus que jamais besoin de vous !
intro_cutscene_5|Perdus désespérément à la Vallée Shida, ils ne peuvent pas rentrer chez eux sans les tambours sacrés et vos conseils.
intro_cutscene_6|Jouez PATA PATA PATA PON en suivant le rythme pour avancer !
intro_cutscene_7|Une fois que les Patapons ont cessé de chanter pour quatre mesures, recommencez à jouer du tambour.
outro_cutscene_1|Merci d’avoir joué à la démo !
outro_cutscene_2|Ce fut un plaisir de faire Patafour pour vous !
outro_cutscene_3|L’équipe Patafour espère sincèrement que cela vous a plu. Nous nous sommes données corps et âme pour vous !
outro_cutscene_4|Les Kirajins reviendront plus fort que jamais...
outro_cutscene_5|Parviendrez-vous à les combattre et récupérer les terres perdus des Patapon, Pata-Pole? 
outro_cutscene_6|Apprenez les arts anciens de la toute première tribu Patapon et menez votre armée à la victoire.
outro_cutscene_7|Les autres tribus auront besoin de vous, Tout-Puissant [PLAYER_NAME]...
outro_cutscene_8|Sauvez le monde dans la version complète de Patafour !
outro_end|Merci d’avoir joué !
// # credits
credits_creator|Créateur du projet
credits_programmers|Programmeurs
credits_artists|Artistes
credits_animators|Animateurs
credits_musicians|Musiciens
credits_gameplay|Équilibrage du gameplay
credits_community|Community managers
credits_writers|Écrivains
credits_translators|Traducteurs
credits_supporters|Supporters
credits_special|Remerciement spécial
credits_all|Et à tous ceux qui ont soutenu le projet ! Merci !
// # New Game Text
newgame_what_is_your_name|Bienvenue à la maison Tout-Puissant ! Quel nom souhaitez-vous utiliser ?
newgame_name_error_prompt|Votre nom doit contenir entre 2 et 50 caractères.
newgame_game_save_created|Fichier de sauvegarde crée avec succès.
newgame_welcome|Bienvenue, Tout-Puissant
newgame_welcome2|Êtes vous prêt à entrer dans la démo de Patafour?
// ## items
item_wooden_spear|Lance en bois
desc_wooden_spear|Une lance basique en bois, donnée à chaque recrue Patapon lorsqu’elle atteint l’âge de participer à sa première chasse. Chérie par de nombreux Patapons, même après qu’ils aient obtenu de meilleures armes.
item_iron_spear|Lance en fer
desc_iron_spear|Une robuste lance en fer. Les Patapons les apprécient, car elles sont plus lourdes et infligent plus de dégâts. Cependant, elles ont besoin d’un guerrier plus fort pour pouvoir être lancées.
item_steel_spear|Lance en acier
desc_steel_spear|Une lance avec une pointe affutée fabriquée à partir d’un alliage rare, l’acier. Ces lances sont plus légère que celle en fer mais infligent encore plus de dégâts !
item_kacheek_spear|Lance Kacheek 
desc_kacheek_spear|Une lance forgée à partir de la défense d’un Kacheek. Son tranchant est suffisant pour percer les boucliers et infliger des dégâts critiques.
item_shubaba_mask|Masque Shubaba
desc_shubaba_mask|Masque du Héros Phantom Strike. Il accorde une petite partie du pouvoir du Grand Shubabassa, augmentant légèrement la vitesse des muscles, permettant d’attaquer plus rapidement que les autres guerriers.
item_none|Rien ! 
desc_none|Un coin vide de l’autel Patapon, avec seulement des bougis et de l’encens
item_banal_branch|Branche banale
desc_banal_branch|Une branche banale. Bien qu’elle ne soit qu’une simple partie de bois, un Patapon entreprenant peut lui trouver plusieurs utilisations, allant d’un manche d’une hache à un mât de tente.
item_cherry_blossom|Fleur de cerisier
desc_cherry_blossom|Selon la légende, les colossaux anciens cerisiers d’où provient cette branche sont des divinités au repos. 
item_small_rock|Pierre
desc_small_rock|Une pierre commune. Pleine d’impuretés mais vitale pour la vie tribale. Les enfants Patapon essaient souvent de les envoyer de l’autre côté des rivières en les faisant ricocher à la surface.
item_hard_iron|Fer robuste
desc_hard_iron|Selon les mythes de Zigoton, beaucoup de sang a coulé dans les conflits autour de ce métal rare. Les anciennes histoires racontaient comment les ancêtres récoltaient ce métal à l’intérieur des montagnes, mais le secret a été perdu au fil du temps.
item_leather_meat|Viande coriace
desc_leather_meat|Les anciens disent aux jeunes Patapons : “Si cela vous rassasie, ne vous plaignez pas” et ils apprennent à manger cette viande.
item_tender_meat|Viande tendre
desc_tender_meat|Les Patapons aiment cette viande moelleuse et succulente, mais ils n’en mangent que très rarement, même le jour de leur anniversaire.
item_pon_drum|Tambour Pon
desc_pon_drum|Grand tambour de Bravoure. Obtenu en acceptant de devenir le Dieu Patapon.
item_pata_drum|Tambour Pata
desc_pata_drum|Grand tambour de Vigueur. Hatapon a gardé ce tambour toute sa vie.
item_chaka_drum|Tambour Chaka
desc_chaka_drum|Grand tambour de Sagesse. 
item_don_drum|Tambour Don
desc_don_drum|Grand tambour des Miracles. Le rythme de ce tambour aurait le pouvoir de faire naître la volonté du Tout-Puissant.
item_keepsake|Souvenir
desc_keepsake|Le souvenir d’Hatapon. Cela le réconfortait toujours et lui rappelait que le Tout-Puissant viendrait lorsque le monde aura le plus besoin de lui.
item_wooden_helmet|Casque en bois
desc_wooden_helmet|Le casque traditionnel en bois de la tribu Patapon. C’est le résultat de leurs parties de chasse et malgré sa conception simple, il a sauvé la vie à de nombreux guerriers.
item_iron_helmet|Casque en fer
desc_iron_helmet|Ce casque, fabriqué en fer précieux, imite le design standard du casque en bois, mais apporte plus de protection.
item_kacheek_helm|Casque Kacheek
desc_kacheek_helm|Ce casque, façonné grâce à la peau et la fourrure d’un Kacheek, maintiens le porteur hors de danger. Il permet aussi de garder la vue du porteur au chaud.
item_mudada_bone|Os de Mudada
desc_mudada_bone|Un petit os blanchi, apparement d’un petit animal. On les trouvent souvent dans les touffes d’herbes des terrains de chasse ou dans l’estomac des gros animaux.
item_gashirin_bone|Os de Gashirin
desc_gashirin_bone|Un énorme os robuste. Il est écrit que nos anciens ancêtres utilisaient ces os comme armes.
item_kuneri_fang|Crocs de Kuneri
desc_kuneri_fang|Un croc magnifique et déformé. Il peut être taillé pour servir d’arme et sert également pour la confection d’équipement.
item_itete_fang|Crocs d’Itete
desc_itete_fang|Un grand croc très pointue. On dit depuis très longtemps qu’il est possible de connaître l’expérience d’un véritable chasseur par le nombre de crocs qu’il a dû retirer de son cou.
item_soggy_map|Carte sale
desc_soggy_map|Une carte obtenue dans un coffre au trésor enterré trouvé dans la Vallée de Shida. Il marque l’emplacement d’une forteresse cachée.
item_digital_blueprint|Plan numérique
desc_digital_blueprint|Un plan trouvé à l’intérieur d’une hutte Kirajin au Bosquet Patapine. Il montre l’emplacement d’une future forteresse Kirajin.
item_category_material|Matériaux
item_category_weapon|Armes
item_category_masks|Masque
item_category_masks|Armure
item_category_nothing|Espace vide
// ## enemies
enemy_kacheek|Kacheek
enemy_mochichi|Mochichi
enemy_kirajin|Kirajin
// ## rarepons
rarepon_normal|Normal
rarepon_normal_desc|Un guerrier normal de la tribu des Patapons. Ils sont réputés pour leur stoïcisme et leur bravoure. Ces Patapons sont peut être de petite taille, mais avec la bonne mentalité, ils peuvent tout faire !
// ## navigation
nav_next|Suivant
nav_previous|Précédent
nav_nextpage|Page suivante
nav_previouspage|Page précédente
nav_enter|Entrer
nav_leave|Partir
nav_exit|Quitter
nav_savegame|Sauvegarder
nav_exittotitle|Retourner a l’écran titre
nav_left|Gauche
nav_right|Droite
nav_up|Haut
nav_down|Bas
nav_circle|Cercle
nav_triangle|Triangle
nav_square|Carré
nav_cross|Croix
nav_move|Déplacer
nav_scroll|Défiler
nav_yes|Oui
nav_no|Non
nav_agree|Accepter
// ## main menu NEW
menu_pressanykey|Appuyer sur n’importe quel bouton
menu_saveexists|Il existe une sauvegarde.\Voulez vous l’écraser ?
menu_nodata|Aucune donnée de sauvegarde disponible trouvée.
menu_nosupportdata|Les sauvegardes des versions antérieurs de Patafour ne sont pas prises en charge.
menu_invaliddata|Les données de sauvegarde sont invalides ou corrompues.
// ## options NEW
options_options|Options
options_ingame_btn|Boutons en jeu
options_assign_key|Touche assignée 
options_key|Touche
options_change_title|Modification de la touche assignée pour le bouton en jeu.
options_change_button|Bouton
options_change_anykey|Appuyer sur n’importe quelle touche pour l’assigner au bouton en jeu.
options_tip1|Astuce: Passez la souris sur une touche assignée ou sélectionner la avec les flèches dirrectionnelles, \puis appuyer sur le bouton croix pour le changer.\Appuyer sur le bouton triangle pour retirer la touche assignée.\Utilisez les nombres en haut du menu pour basculer entre les différents profils.
options_tip2|Astuce: Appuyez sur n’importe quelle touche pour retourner au menu des options.\Les raccourcis claviers seront sauvegardés après avoir quitté le menu des options.
options_tip3|Astuce: Appuyez sur le bouton Start de votre clavier pour continuer.\Appuyez sur le bouton cercle pour quitter la configuration de la manette.
options_bigbutton|Gros bouton
options_audio1|Paramètres de volume
options_volume1|Volume principal :
options_volume2|Volume des musiques :
options_volume3|Volume des bruitages :
options_input2|Raccourcis clavier
// ## intro cutscene NEW
newgame_intro_1|Après avoir terminé le pont Patapole, nous\sommes finalement arrivés sur de nouvelles terres, intactes des mains du Tout-Puissant Patapon.
newgame_intro_2|Dans cet endroit inconnu, nous avons découvert\les ruines d’une ancienne civilisation,\apparemment oubliées depuis longtemps.
newgame_intro_3|Désespérés de le trouver, nous avons commencé à bricoler\avec les anciens mécanismes qui\avaient été retrouvés enfouis dans les décombres.
newgame_intro_4|En appuyant simplement sur un bouton, nos trois Yaripons,\le Héros, et moi-même, avons été envoyés dans un endroit bizarre\et inconnu rempli de nature\et d’animaux sauvages, apparemment dépourvu de toute civilisation.
newgame_intro_5|Inquiets pour nos camarades, nous avons essayé\tout ce que nous pouvions pour rentrer chez nous,\et nous remercions le Tout-Puissant Patapon d’avoir pu y arriver !
newgame_intro_6|Cependant...
newgame_intro_7|À notre retour, nous avons découvert avec effroi les corps de nos alliés. À en juger par leurs blessures, leur mort était récente. 
newgame_intro_8|Le ciel était teint en rouge sang,\et les cris des rares survivants\pouvaient être entendus au loin.
newgame_intro_9|Nous avons levé les yeux vers le ciel et avons rencontré\une terrifiante et mystérieuse silhouette flottante et inquétante au-dessus de nous. Son unique oeil était rempli de rancœur et de haine.
newgame_intro_10|Alors qu’il commençait à nous approcher, nous nous sommes heureusement sauvés\grâce à l’ancienne machine que nous avions utilisée auparavant,\échappant de justesse aux mâchoires de la mort.
newgame_intro_11|...
newgame_intro_12|Tout-Puissant, je vous en prie!\Veuillez nous guider vers Earthend.
newgame_intro_13|Sauvez notre monde du mal\et laissez-nous enfin le contempler!
newgame_intro_14|S’il vous plaît, prenez le tambour sacré\et marchons encore une fois !
// ## first run NEW
firstrun_dialog_1|Bienvenue dans la démo de Patafour !\Appuyez sur Z pour continuer.
firstrun_dialog_2|C’est la première fois que vous lancez la démo,\alors voici quelques informations basiques.
firstrun_dialog_3|Patafour est un projet en cours de développement.\Ce n’est pas une version finale et est loin d’être achevée.
firstrun_dialog_4|Cette démo vous montrera la plupart des mécanismes de base que nous avons réussi à finir.
firstrun_dialog_5|Toute l’équipe de Patafour espère\que vous allez apprécier notre petit projet !
firstrun_dialog_6|Voici quelques contrôles basiques:\Z - Confirmer (Croix)\X - Annuler (Cercle)\Entrée - Start\Barre espace - Select
firstrun_dialog_7|Vous pouvez changer ces paramètres\dans le menu options.
firstrun_dialog_8|Nous vous recommandons d’utiliser une manette\pour une meilleure expérience.
firstrun_dialog_9|Amusez-vous !
patapolis_returntomain|Voulez-vous retourner\à l’écran titre ?
patapolis_returntomainsave|Les données non enregistrées seront perdus.\Êtes-vous sûr ?
patapolis_save|Voulez-vous sauvegarder votre partie ?
patapolis_saved|La partie a été enregistrée.
patapolis_demofinish|Félicitations, vous avez fini la démo !
patapolis_demo_pick1|Regarder les crédits
patapolis_demo_pick2|Annuler
patapolis_sen|Sen Ranpurupon
// ## npc dialogue NEW
npc_wakapon_1|Je suis Wakapon ! Garde de\ l’Œuf du Monde pour l’ordre de Kami !
npc_wakapon_2|Bienvenue Kami ! Je suis vraiment reconnaissant\de parler avec vous en personne !
npc_wakapon_3|Vous pouvez avoir confiance en moi,\je protégerai l’Œuf du Monde\au péril de ma vie, c’est promis !
npc_wakapon_4|Je peux sentir quelque chose de mal\arriver dans notre monde...
npc_wakapon_5|Le ressentez-vous aussi, Kami ? Allez-vous nous protéger de\tout danger auquel nous pourrions être confrontés ?
npc_wakapon_6|Ces créatures triangulaires...\Que sont-elles ? Que veulent-elles de\nous, Patapons ?
npc_wakapon_7|Leurs yeux sont remplis de haine...\J’ai bien peur que ce ne soit que le début.
npc_wakapon_8|Une quête périlleuse vous attends, vous et vos troupes, Kami.
npc_wakapon_9|Les Kirajins sont en possession d’une\technologie qui n’est pas de ce\monde. Vous devez rester fort.
npc_wakapon_10|Fantastique travail, Kami ! Vous avez détruit leur forteresse aux falaises d’Ejiji. 
npc_wakapon_11|Cependant, le mal ne se repose jamais.\Les Kirajins recueillent de l’énergie provenant\d’étranges cristaux rouges. Détruisez-les pour affaiblir leur armée !
npc_sen_1|Oh Grand Kami !\Conduis nous à Earthend.
npc_sen_2|Oh Puissant Kami !\Conduis nous à Earthend.
npc_sen_3|Oh Puissant Patapon !\Conduis nous à Earthend.
npc_sen_4|Il y a de nombreux animaux\qui errent dans la vallée de Shida.
npc_sen_5|Les rumeurs disent que d’innombrables trésors\ont été enterrés dans ces sols.
npc_sen_6|Quelque chose a attaqué les bûcherons\Patapons au Bosquet Patapine.
npc_sen_7|Les éclaireurs Yaripons signalent\des créatures triangulaires qui construisent\une forteresse à partir de bois volé...
npc_sen_8|”Kirajins”...? Est-ce que c’est comme cela qu’ils sont appelés ?
npc_sen_9|Je pense avoir déjà entendu\ce nom auparavant...
npc_sen_10|Les Kirajins ont construit\une autre forteresse aux falaises d’Ejiji.
npc_sen_11|On ne peut pas les laisser gagner...!\Allez les vaincre, Kami !
npc_sen_12|Vous avez réussi mon Dieu ! Vous avez réussi !\C’en est fini pour l’instant...
npc_sen_13|Je n’arrive toujours pas à me rappeler d’où\je les ai déjà vus...
// ## altar NEW
altar_category0|Matériaux
altar_category1|Lance
altar_category2|Masque
altar_category3|Casque
altar_category4|Objet clé
// ## barracks NEW
barracks_yaripon|Yaripon
barracks_unit_status|Statut de l’unité
barracks_stat_level|Niveau
barracks_stat_exp|Expérience
barracks_stat_hp|PV
barracks_stat_damage|Dégâts
barracks_stat_attackspeed|Vitesse d’attaque
barracks_stat_critchance|Chance de crit
barracks_stat_knockbackchance|Chance de renverser
barracks_stat_staggerchance|Chance de trébucher
barracks_stat_burnchance|Chance de brûler
barracks_stat_freezechance|Chance de gêler
barracks_depart|Êtes-vous sûr de vouloir partir ?
// ## items NEW
item_titanum_ore|Minerai de Titane
desc_titanum_ore|La légende raconte que ce minerai résistant et léger a été accordé aux Patapons par le Tout-Puissant. Il peut résister pendant des siècles et constitue un matériau d’équipement parfait pour les classes ayant besoin de mouvements rapides.
item_hinoki|Hinoki
desc_hinoki|La légende raconte que même la maison du Tout-Puissant Patapon est composée de ce bois sacré. Les Patapons se sentent soulagés et reposés lorsqu’ils pénètrent dans des bâtiments en ce bois précieux.
item_gizaza_fang|Croc de Gizaza
desc_gizaza_fang|La pointe de ce croc contient d’innombrables petits cartilages. Toute personne percée par ce croc devra payer le prix fort si elle essaie de l’enlever. Même les Patapons médecins les plus qualifiés ont du mal à retirer ce croc de quelqu’un.
item_dream_meat|Viande de rêve
desc_dream_meat|Cette légendaire viande marbrée fond comme de la barbe à papa, mais les Patapons préfèrent un repas plus copieux. Les Patapons qui goûtent à cette délicatesse tous les jours ont le droit d’avoir une vie heureuse et paisible.
item_scorching_spear|Lance brûlante
desc_scorching_spear|La magie lancée sur cette lance rend sa pointe en flamme. Inflige de lourds dégâts et met le feu aux ennemis. Les ennemis sentiront comme un bon bœuf rôti.
item_strength_helmet|Casque de force
desc_strength_helmet|Ce casque magique, décoré avec de la peinture d’algues rouges, provenant du Volcan Bovo, augmente considérablement l’attaque.
item_kirajin_helmet1|Casque en fer Kirajin
desc_kirajin_helmet1|Casque triangulaire, fait d’une ressource inhabituelle que l’on pense être du fer. Fournit des attributs inhabituels au soldat qui le porte. Il augmente les points de santé et renforce l’attaque.
item_kirajin_spear1|Lance en fer Kirajin
desc_kirajin_spear1|Lance faite d’une ressource inhabituelle que l’on pense être du fer. Sa pointe est tellement pointu que l’on pourrait percer son doigt juste en la touchant doucement.
// ## navigation NEW
nav_understood|Compris
// ## tips NEW
tips_anykey|Appuyer sur n’importe quelle touche
tips_loading|Chargement
tip1_title|Chasse au Kacheeks
tip1_desc|La chasse aux Kacheeks dans la vallée de Shida\est une ancienne tradition des Patapons.\\Ces bêtes lentes ont nourri la tribu\pendant des générations. Rejoindre une session de chasse est\pour la plupart des Patapons une première expérience au maniement d’une lance.\\Bien que leur odorat ne soit pas aussi bon\que les Mochichis, il est plus prudent d’attendre un vent de face\afin qu’ils ne puissent pas sentir les Patapons venir.
tip2_title|Récompenses de la chasse
tip2_desc|Obtenez de la viande venant de la chasse !\\Chassez les proies pour que la tribu Patapon puisse manger.\Quoi qu’il se passe dans le monde,\les Patapons ont besoin de viande\pour se remplir le ventre !\\Si vous avez bien dirigé les Patapons, ils pourraient\laisser de la viande en offrande à l’autel !\\Les Kacheeks donnent de la viande de cuir.\Les Mochichis donnent de la viande tendre.\\Après votre retour de chasse, n’oubliez pas de vérifier à l’autel !
tip3_title|Bois Robuste du Bosquet Patapine
tip3_desc|Le Bosquet Patapine est connu pour sa capacité\à s’y perdre facilement.\\Les énormes arbres sont un matérau parfait\pour les bâtiments solides, en raison de leur\durabilité incroyable.\\De nombreux bûcherons Patapons passent\leur vie entière à ramasser du bois,\et de nouveaux arbres y poussent chaque jour.
tip4_title|Commandes parfaites
tip4_desc|Obtenir des commandes parfaites est la clé\de la réussite.\\Une fois que vous avez parfaitement frappé les 4 tambours,\vous entendrez un “shwing”.\\De nombreux avantages proviennent des commandes parfaites !\Les Patapons peuvent marcher plus vite et infliger plus de dégâts.\\C’est une technique utile à apprendre !
tip5_title|N’oubliez pas de charger !
tip5_desc|PON PON CHAKA CHAKA charge vos unités.\\Vous pouvez utiliser cette commande à votre avantage !\\Infligez plus de deux fois plus de dégâts\en attaquant !\\Réduisez considérablement les dégâts subis\lors d’un défense !\\Certaines classes ont un comportement spécial lorsqu’elles sont chargées.
tip6_title|Wakapon et l’Œuf du Monde
tip6_desc|Wakapon est le gardien de l’Œuf du Monde\qui brille au centre du pont de Patapole.\\L’Œuf du Monde apporte la paix de le monde des Patapons.\\Les légendes disent que le briser\libérerait tout le mal des enfers dans le monde.\\Le Wakapon a promis à Kami de protéger l’Œuf du Monde au péril de sa vie.
tip7_title|Sen Ranpurupon dans l’ancienne Patapolis
tip7_desc|Sen est une prêtresse de l’âge de l’ancien Patapon.\\Elle est un lien direct entre Patapons et Kami,\et a vécu à travers de nombreuses générations de tribu Patapon.\\Ranpurupon est très attentionnée pour chaque Patapon,\élevant et enseignant les enfants Patapons.\Elle fera tout pour aider la tribu à grandir.
// ## mission data NEW
kirajin_ambush_1|
kirajin_ambush_2|
kirajin_ambush_3|
kirajin_ambush_4|
kirajin_ambush_5|
kirajin_ambush_6|
kirajin_talk_1|
kirajin_talk_2|
kirajin_talk_3|
kirajin_talk_4|
kirajin_talk_5|
kirajin_talk_6|
kirajin_talk_7|
kirajin_talk_8|
kirajin_talk_8|
kirajin_talk_9|
kirajin_talk_10|
kirajin_talk_11|
kirajin_talk_12|
kirajin_talk_13|
kirajin_talk_14|
kirajin_death_1|
kirajin_death_2|
kirajin_death_3|
kirajin_death_4|
// ## christmas event NEW
tip8_title|Noël à Patapolis
tip8_desc|Saviez-vous que les Patapons fêtaient également Noël ?\\Pour la période de Noël, les Patapons décorent\Patapolis avec de nombreuses décorations colorées.\\Les petits Patapons attendent Santapon,\qui leur donne ce qu’ils souhaitent.\\Ils reçoivent généralement leur première arme\pour combattre au nom du Tout-Puissant, pour atteindre Earthend !
item_rappata_spear|Lance Rappata
desc_rappata_spear|Une lance très tranchante faite d’os de Rappatas chassés. Elle est incroyablement légère et peut percer de nombreuses cibles à la fois.
item_rappata_helm|Casque Rappata
desc_rappata_helm|Ce casque en fourrure de Rappata permet des mouvements beaucoup plus faciles et offre une protection contre le froid.
item_christmas_charm_2020|Charme de Noël 2020
desc_christmas_charm_2020|Tenir ce charme dans votre inventaire vous donne de la chance toute l’année ! Merci d’avoir participé à l’event de Noël Patafour 2020 !
item_santa_hat|Chapeau de père Noël
desc_santa_hat|Ce bonnet douillet, tricoté par les mamies Patapon, offre beaucoup de joie et de chaleur à ceux qui le portent. Accorde une énorme protection contre le froid.
worldmap_mission_6_title|Fougères couvertes de neige de la vallée de Shida
worldmap_mission_6_description|À cette période de l’année, la vallée de Shida est couverte de neige, alors que les vents glacés de l’océan près du pont Patapole arrivent. C’est l’occasion idéale pour les animaux rares de sortir de leurs nids et de chasser le poisson sous la glace. Parfois des espèces vraiment rares peuvent apparaître...
kirajin_talk_15|Gelez-les à mort!
kirajin_talk_16|Qu'il neige... qu'il neige... 
kirajin_ambush_7|Attaquez ! Ils doivent geler !
kirajin_death_5|Si... froid...
// # Add your name here if you worked on the translation!
// # name1 @x225franc
// # name2 @TooFat4You
// # name3
