// You can use your native special characters
// Comments starts with // and will not be read by game
// The format is as follows:
// string_id | string (without containing any "|")
// Where string_id is NOT CHANGEABLE! Change only the second part after the | character.
// Example:
options_input_setup_return|Volver a opciones
options_language1|Cambiar Idioma
options_language_english|English
options_language_<yourlanguage>|Español
options_restart_notice|Tienes que reiniciar el juego para que los cambios tengan efecto. ¿Quieres reiniciar ahora?
options_restart_button1|Reiniciar juego
options_restart_button2|Revertir cambios
// ## patapolis
patapolis|Patapolis
patapolis_trader|Mercado
patapolis_blacksmith|Fragua
patapolis_barracks|Cuartel General
patapolis_tree|Mater, el árbol de la vida 
patapolis_festival|Plaza del festival
patapolis_altar|Altar
patapolis_obelisk|Obelisco
patapolis_paraget|Paraget
patapolis_wakapon|Wakapon, el guardián
patapolis_egg|Huevo del mundo
// ## altar
altar_title|Altar
altar_item_title|Objeto de prueba
altar_item_category|Categoría prueba
altar_item_description|Esto es una descripción de prueba. Tiene que ser lo suficientemente larga para que podamos probar la función de desplazamiento del campo de texto de descripción.
// ## barracks
barracks_testunitname|Héroe
barracks_test_stat_text|999,999,999/999,999,999
barracks_unitstatus|Estadisticas de la Unidad
barracks_lvl|Lvl
barracks_exp|Exp
barracks_dmg|Dmg
barracks_hp|Pv
barracks_crit|Crit
barracks_attack_speed|Vel. Ataq.
// ## world map
worldmap_header_1|Mapa del mundo Patapon
worldmap_select|Selecciona una misión
worldmap_location_locked|~Bloqueado~
worldmap_location_1_title|~Valle Shida~
worldmap_location_1_description|Desde el mar llega a este valle una húmeda brisa, volviéndolo un lugar perfecto para  el desarrollo de plantas de todo tipo; ¡Algunos helechos nativos llegan a crecer varios metros! Durante generaciones, varias tribus han utilizado esta tierra fértil como zona de cacería y recolección de vegetales silvestres. Su extraño paisaje lleno de plantas gigantes puede ser desorientador, existen rumores de que alberga tesoros ocultos.
worldmap_location_2_title|~Arboleda Patapina~
worldmap_location_2_description|Los pinos de esta arboleda son conocidos por su gran altura y robustez al ser empleadas como material de construcción. Los leñadores Patapon se ganan la vida talando estos árboles. Se rumorea que las hadas prosperan gracias a los hongos nativos de las profundidades del bosque.
worldmap_location_3_title|~Acantilados Ejiji~
worldmap_location_3_description|Durante una era en los acantilados Ejiji habitaban poderosos dragones, hasta que desaparecieron por razones desconocidas para los habitantes de Rolitoland. Este lugar proporciona un buen sitio para construir casas y fortalezas ocultas. Los Rarepons Gyaba se originaron en esta región, propagándose por todo el mundo, aunque algunos todavía la habitan hasta el día de hoy.
worldmap_mission_1_title|Cazando en el Valle Shida
worldmap_mission_1_description|Muchos animales se reúnen en el valle para tener la oportunidad de encontrar plantas y hongos de los cuales alimentarse. ¡Aprovecha esta oportunidad para cazarlos y alimentar a los Patapons! Los rumores dicen que el valle guarda un tesoro desconocido.
worldmap_mission_2_title|Fortaleza en el bosque
worldmap_mission_2_description|¡Los Kirajin se han establecido en la Arboleda Patapina! Utilizando la madera de los árboles circundantes, han construido una fortaleza. ¡Reúne tus fuerzas y derríbala¡ Estate atento, no vayas a encontrarte una criatura del bosque...
worldmap_mission_3_title|Fortaleza Kirajin en Arboleda Patapina: Lv.
worldmap_mission_3_description|Puede que los Kirajins hayan sido derrotados una vez, pero han regresado, más fuertes que nunca. Están decididos a ocupar este puesto sin importar el costo. ¡Derrota la fortaleza una vez más para contener a las fuerzas Kirajin!
worldmap_mission_4_title|Armamentos Avanzados
worldmap_mission_4_description|Los exploradores Patapon han informado que los Kirajins han comenzado la construcción de una fortaleza usada como base de operaciones contra las fuerzas Patapon. Según los informes, la futura fortaleza será reforzada con poderosa tecnología Kirajin nunca antes vista por los Patapon. Sé valiente y no temas, destruye esta fortaleza antes de que esté completa.
worldmap_mission_5_title|Kirajins implacables en los Acantilados Ejiji: Lv.
worldmap_mission_5_description|Incluso después de que hayas destruido su fortaleza, los Kirajins no se permitirán perder de nuevo. Están decididos a mantener su posición incluso si les cuesta la vida. Meden advierte preocupada, "Será más difícil que la última vez...".
// ## missiondata
mission_complete|¡MISIÓN COMPLETADA!
mission_failed|¡MISIÓN FALLIDA!
intro_cutscene_1|¡Bienvenido a la versión de lanzamiento de la demo de Patafour!
intro_cutscene_2|Esta demo presenta bastante contenido para jugar, además de algunos secretos. ¿Serás capaz de encontrarlos todos?
intro_cutscene_3|Oh Ser Supremo, te suplico...
Intro_cutscene_4|¡La tribu Patapon te necesita más que nunca!
intro_cutscene_5|Perdidos y sin esperanza en el Valle Shida, no pueden volver a casa sin los tambores sagrados y tu guía.
intro_cutscene_6|¡Toca el tambor con PATA PATA PATA PON siguiendo el ritmo para avanzar!
intro_cutscene_7|Cuando los Patapons dejen de cantar durante cuatro compases, puedes volver a tocar el tambor otra vez.
outro_cutscene_1|¡Gracias por jugar la Demo!
outro_cutscene_2|¡Ha sido un gusto hacer Patafour para ti!
outro_cutscene_3|El equipo de Patafour espera que te haya gustado. Hemos puesto nuestro corazón y alma en el proyecto, solo para ti.
outro_cutscene_4|Los Kirajins volverán más fuertes que nunca...
outro_cutscene_5|¿Podrás luchar contra ellos y recuperar Patapole?
outro_cutscene_6|Aprende las artes antiguas de la primera tribu Patapon y guía tu ejército a la victoria.
outro_cutscene_7|Las otras tribus te necesitarán, Ser Supremo [PLAYER_NAME]...
outro_cutscene_8|¡Salva el mundo en la versión completa de Patafour!
outro_end|¡Gracias por jugar!
// # credits
credits_creator|Creador del proyecto
credits_programmers|Programadores
credits_artists|Artistas
credits_animators|Animadores
credits_musicians|Músicos
credits_gameplay|Equilibrio del juego
credits_community|Gestores de Comunidad
credits_writers|Escritores
credits_translators|Traductores
credits_supporters|Contribuyentes
credits_special|Agradecimientos Especiales
credits_all|¡Y todos los que apoyaron el proyecto! ¡Muchas gracias!
// # New Game Text
newgame_what_is_your_name|¡Bienvenido a casa Ser Supremo! ¿Qué nombre te gustaría usar?
newgame_name_error_prompt|Tu nombre debe contener entre 2 y 50 caracteres.
newgame_game_save_created|Archivo de guardado creado con éxito.
newgame_welcome|¡Bienvenido Ser Supremo!
newgame_welcome2|¿Estás listo para entrar a la demo de Patafour?
// ## items
item_wooden_spear|Lanza de madera
desc_wooden_spear|Una lanza de madera básica, se le otorga a todo recluta Patapon cuando alcanzan la mayoría de edad y se unen al ejército. Es atesorada por muchos Patapon, incluso después de pasar a utilizar armas mejores y más grandes.
item_iron_spear|Lanza de hierro
desc_iron_spear|Una lanza de hierro resistente. A los Patapons les encantan porque son más pesadas y causan más daño. Sin embargo, solo un fuerte guerrero las puede usar de manera competente.
item_steel_spear|Lanza de acero
desc_steel_spear|Una lanza con una punta hecha de una extraña aleación, acero. Son más ligeras que las de hierro, ¡pero hacen mucho más daño!
item_kacheek_spear|Lanza de Kacheek
desc_kacheek_spear|Una lanza forjada con el colmillo afilado de un Kacheek. Su filo es suficiente para atravesar escudos, infligiendo daños críticos.
item_shubaba_mask|Shuba
desc_shubaba_mask|Máscara del héroe de golpes Sónicos. Otorga una pequeña fracción del poder del gran Shubabassa, aumenta ligeramente la velocidad muscular del usuario, permitiéndole atacar más rápido que otros guerreros.
item_none|¡Nada!
desc_none|Un rincón vacío del altar Patapon, con solo velas e incienso.
item_banal_branch|Rama Banal
desc_banal_branch|Una rama de madera básica. Aunque puede ser solo un simple trozo de madera, un Patapon emprendedor puede encontrar muchos usos para estos, desde el mango de una hacha hasta un palo para sujetar una tienda de campaña.
item_cherry_blossom|Flor de cerezo
desc_cherry_blossom|Según la leyenda, los cerezos del Este de donde proviene esta rama son deidades en reposo.
item_small_rock|Piedra
desc_small_rock|Una piedra normal. Llena de impurezas, pero necesaria para la vida Patapon, suelen lanzarlas a los lagos y ríos.
item_hard_iron|Hierro duro
desc_hard_iron|Según los mitos Zigoton, se disputaron muchas guerras en el pasado con tal de obtener este raro metal. Las historias Patapon cuentan cómo sus antecesores solían sacar hierro duro del interior de las montañas, pero el procedimiento ha quedado en el olvido.
item_leather_meat|Carne Correosa
desc_leather_meat|Los ancianos le dicen a los Patapons jóvenes: "Si te llena el estómago, no te quejes" y aprenden a comer esta carne.
item_tender_meat|Carne tierna
desc_tender_meat|Los Patapons adoran esta carne blanda y exquisita, pero rara vez la comen, ni en sus cumpleaños.
item_pon_drum|Tambor PON
desc_pon_drum|Tambor del valor. Obtenido tras aceptar convertirte en el Ídolo Patapon.
item_pata_drum|Tambor PATA
desc_pata_drum|Tambor de la fuerza. Hatapon protegió este tambor con su vida.
item_chaka_drum|Tambor CHAKA
desc_chaka_drum|Tambor de la sabiduría.
item_don_drum|Tambor DON
desc_don_drum|Tambor de los milagros. Se dice que el ritmo de este tambor tiene el poder de hacer realidad la voluntad del Ser Supremo.
item_keepsake|Recuerdo
desc_keepsake|Recuerdo de Hatapon. Siempre lo consolaba y le recordaba que el Ser Supremo volvería cuando más se le necesitase.
item_wooden_helmet|Casco de madera
desc_wooden_helmet|El casco de madera tradicional de la tribu Patapon. Es la marca distintiva de sus grupos de caza, a pesar de su diseño simple, ha salvado la vida de muchos guerreros Patapon.
item_iron_helmet|Casco de hierro
desc_iron_helmet|Este casco, hecho del preciado hierro, imita el diseño estándar del casco de madera, pero brinda más protección.
item_kacheek_helm|Casco de Kacheek
desc_kacheek_helm|Este casco, fabricado con la piel y el pelaje de un Kacheek, protege a quien lo usa de cualquier daño. Cómo y cálido para el ojo del portador.
item_mudada_bone|Hueso Mudada
desc_mudada_bone|Un hueso pequeño y blanqueado, aparentemente de un animal pequeño. A menudo se encuentran en los terrenos de caza o en el estómago de animales más grandes.
item_gashirin_bone|Hueso de Gashirin
desc_gashirin_bone|Un hueso grande y robusto. Está escrito que nuestros antecesores usaron estos huesos como armas.
item_kuneri_fang|Colmillo Kuneri
desc_kuneri_fang|Un magnífico colmillo retorcido. Se puede utilizar como la hoja de un arma y también funciona como equipamiento.
item_itete_fang|Colmillo Itete
desc_itete_fang|Un enorme colmillo con un filo muy puntiagudo. Durante mucho tiempo se ha dicho que se puede saber la experiencia de un cazador por el número de ellos que ha requerido quitarse del cuello.
item_soggy_map|Mapa sucio
desc_soggy_map|Un mapa obtenido de un cofre del tesoro enterrado que se encuentra en el Valle Shida. Marca la ubicación de una fortaleza oculta.
item_digital_blueprint|Plano digital
desc_digital_blueprint|Un plano encontrado dentro de una cabaña Kirajin en la Arboleda Patapina. Muestra la ubicación de una futura fortaleza Kirajin.
item_category_material|Materiales
item_category_weapon|Armas
item_category_masks|Máscaras
item_category_masks|Armaduras
item_category_nothing|Espacio Blanco
// ## enemies
enemy_kacheek|Kacheek
enemy_mochichi|Mochichi
enemy_kirajin|Kirajin
// ## rarepons
rarepon_normal|Normal
rarepon_normal_desc|Un guerrero normal de la tribu Patapon. Son famosos por su estoicismo y valentía. Y aunque estos Patapons pueden ser pequeños, con la mentalidad adecuada, ¡pueden hacer cualquier cosa!
// ## navigation
nav_next|Siguiente
nav_previous|Anterior
nav_nextpage|Siguiente página
nav_previouspage|Página anterior
nav_enter|Entrar
nav_leave|Salir
nav_exit|Salida
nav_savegame|Guardar juego
nav_exittotitle|Salir a la página principal
nav_left|Izquierda
nav_right|Derecha
nav_up|Arriba
nav_down|Abajo
nav_circle|Círculo
nav_triangle|Triángulo
nav_square|Cuadrado
nav_cross|Cruz
nav_move|Mover
nav_scroll|Desplazarse
nav_yes|Si
nav_no|No
nav_agree|De acuerdo
// ## main menu NEW
menu_pressanykey|Pulsa cualquier botón para empezar.
menu_saveexists|Hay datos guardados ya existentes.\¿Quieres sobreescribirlos?
menu_nodata|No se encontraron datos guardados disponibles.
menu_nosupportdata|No son compatibles archivos de guardado de\versiones anteriores de Patafour.
menu_invaliddata|Los datos guardados son inválidos o están corruptos.
// ## options NEW
options_options|Opciones
options_ingame_btn|Botón del juego
options_assign_key|Tecla asignada
options_key|tecla
options_change_title|Cambiando tecla asignada para el botón del juego:
options_change_button|botón
options_change_anykey|Pulsa cualquier tecla para asignarla al botón del juego
options_tip1|Consejo: Coloque el ratón sobre la tecla asignada o selecciónela con las flechas,\luego presione el botón de cruz para cambiarla.\Presione el botón de triángulo para eliminar la tecla asignada.\Use los números en la parte superior del menú para cambiarla entre combinaciones de teclas preestablecidas.
options_tip2|Consejo: Presione cualquier botón para volver a él menú de opciones.\Las nuevas teclas establecidas se guardarán después de que salgas del menú de opciones.
options_tip3|Consejo: Presioné el botón de Start en tu teclado para continuar.\Pulsa el botón Círculo para salir la configuración del controlador
options_bigbutton|botón grande
options_audio1|Niveles de volumen
options_volume1|Volumen maestro:
options_volume2|Volumen de sonido:
options_volume3|Volumen de música:
options_input2|Mapeado del teclado
// ## intro cutscene NEW
newgame_intro_1|Después de terminar el Puente de Patapole,\llegamos a nuevas tierras, intocadas\por las manos del Ser Supremo.
newgame_intro_2|En este lugar desconocido, descubrimos\las ruinas de una antigua civilización\aparentemente olvidada.
newgame_intro_3|Desesperados por encontrar ESO, comenzamos a toquetear\esos antiguos mecanismos\ enterrados entre los escombros.
newgame_intro_4|Con solo presionar un botón, nuestros tres Yaripons,\Héroe y yo, fuimos enviados a un lugar extraño\y desconocido, lleno de naturaleza\y vida salvaje, aparentemente desprovisto de cualquier civilización.
newgame_intro_5|Preocupados por nuestros camaradas, hicimos\todo lo que pudimos para volver a casa,\¡y agradecemos al Ser Supremo que lo logramos!
newgame_intro_6|Sin embargo...
newgame_intro_7|A nuestro regreso,volvimos para encontrarnos los cuerpos de nuestros aliados. A juzgar por sus heridas, sus muertes fueron recientes.
newgame_intro_8|El cielo de arriba estaba teñido de sangre roja,\y los gritos de los pocos sobrevivientes se podían escuchar en la distancia.
newgame_intro_9|Miramos hacia el cielo y nos encontramos con\una figura aterradora y misteriosa, flotando\ominosamente sobre nosotros. Su singular ojo estaba lleno de resentimiento y odio.
newgame_intro_10|Cuando empezó a acercarse a nosotros, logramos salvarnos\gracias a la máquina antigua que habíamos usado previamente\escapando a duras penas de aquellas mortales mandíbulas.
newgame_intro_11|...
newgame_intro_12|Ser Supremo, ¡te lo ruego!\Por favor, guíanos al Confín de la Tierra.
newgame_intro_13|¡Salva nuestro mundo del mal\y dejarnos contemplar ESO por fin!
newgame_intro_14|¡Por favor, toma el tambor sagrado\y marchemos una vez más!
// ## first run NEW
firstrun_dialog_1|¡Bienvenido a la demo de Patafour!\Pulsa Z para continuar.
firstrun_dialog_2|Esta es la primera vez que juegas la Demo,\así que aquí tienes información básica.
firstrun_dialog_3|Patafour es un proyecto que se está desarrollando activamente.\Este no es un producto final y no está ni cerca de completarse.
firstrun_dialog_4|Esta demo te mostrará la mayoría de las mecánicas básicas\y principales que hemos logrado terminar hasta ahora.
firstrun_dialog_5|¡El equipo de Patafour espera que te guste\nuestro pequeño proyecto!
firstrun_dialog_6|Estos son los controles básicos:\ Z - Confirmar (Cruz)\X - Cancelar (Círculo)\Enter- Inicio\ Espacio - Seleccionar
firstrun_dialog_7|Puedes cambiar estas configuraciones\en el menú de opciones.
firstrun_dialog_8|Recomendamos que uses un control\para una mejor experiencia.
firstrun_dialog_9|¡Que te diviertas!
patapolis_returntomain|¿Quieres volver\al menú principal?
patapolis_returntomainsave|Los datos no guardados se perderán\¿Estás seguro?
patapolis_save|¿Quieres guardar la partida?
patapolis_saved|La partida ha sido guardada.
patapolis_demofinish|¡Felicidades, has terminado la demo!
patapolis_demo_pick1|Ver los créditos
patapolis_demo_pick2|Cancelar
patapolis_sen|Sen Ranpurupon
// ## npc dialogue NEW
npc_wakapon_1|¡Yo soy Wakapon! ¡Guardián del Huevo del \Mundo por las órdenes de Kami!
npc_wakapon_2|¡Bienvenido Kami! ¡Estoy muy agradecido\de hablar contigo en persona!
npc_wakapon_3|Puedes tener confianza en mí,\protegeré el Huevo del Mundo\con mi vida; ¡te lo prometo!
npc_wakapon_4|Puedo sentir algo malévolo\viniendo a nuestro mundo...
npc_wakapon_5|¿Acaso lo sientes tú también Kami?\¿Nos protegerás de\ cualquier peligro que podamos enfrentar?
npc_wakapon_6|Estas criaturas triangulares…\¿Qué son? ¿Qué quieren de\nosotros, los Patapon?
npc_wakapon_7|Sus ojos están llenos de odio…\Me temo que esto es sólo el comienzo.
npc_wakapon_8|Una peligrosa misión te espera\a ti y a tus tropas, Kami.
npc_wakapon_9|Los Kirajins están en posesión de\tecnología que no es de este\mundo. Debes permanecer fuerte.
npc_wakapon_10|¡Buen trabajo Kami! Destruiste\su fortaleza en los Acantilados Ejiji.
npc_wakapon_11|Sin embargo, el mal nunca descansa. \Los Kirajins recolectan energía de\unos extraños cristales rojos. ¡Destruyelos para debilitar a su ejército!
npc_sen_1|¡Oh, gran Kami!\Llévanos al Confín de la Tierra.
npc_sen_2|¡Oh, poderoso Kami!\Llévanos al Confín de la Tierra.
npc_sen_3|¡Oh, Ser Supremo!\Llévanos al Confín de la Tierra.
npc_sen_4|Hay muchos animales\vagando por el Valle Shida.
npc_sen_5|Los rumores dicen que innumerables tesoros\fueron enterrados en estas tierras.
npc_sen_6|¡Algo atacó a los leñadores\Patapon en la Arboleda Patapina!
npc_sen_7|Los Yaripon exploradores informan que\unas criaturas rojas y triangulares están construyendo\una fortaleza con madera robada...
npc_sen_8|¿"Kirajins"...? ¿Así es\como se llaman?
npc_sen_9|Creo que he escuchado\ese nombre antes...
npc_sen_10|Los Kirajin construyeron otra\fortaleza en los Acantilados Ejiji.
npc_sen_11|¡No podemos dejarles ganar...!\¡Ve y derrotalos, Kami!
npc_sen_12|¡Lo hiciste Ser Supremo! ¡Lo hiciste!\Se acabó por ahora...
npc_sen_13|Aun no puedo recordar de dónde\los he visto antes...
// ## altar NEW
altar_category0|Material
altar_category1|Lanza
altar_category2|Mascara
altar_category3|Casco
altar_category4|Objeto Clave
// ## barracks NEW
barracks_yaripon|Yaripon
barracks_unit_status|Est. de Unid.
barracks_stat_level|Nivel
barracks_stat_exp|Experiencia
barracks_stat_hp|HP
barracks_stat_damage|Daño
barracks_stat_attackspeed|Tiempo entre Ataques
barracks_stat_critchance|Crítico Índice
barracks_stat_knockbackchance|Empujón Índice
barracks_stat_staggerchance|Aturdim. Índice
barracks_stat_burnchance|Combus. Índice
barracks_stat_freezechance|Congel. Índice
barracks_depart|¿Éstas seguro que quieres partir?
// ## items NEW
item_titanum_ore|Mineral de Titanio
desc_titanum_ore|Cuenta la leyenda que este mineral duro y ligero fue otorgado a los Patapon por nadie menos que el Ser Supremo. Puede durar años y es un material de equipamiento perfecto para clases que requieren movimientos rápidos.
item_hinoki|Hinoki
desc_hinoki|Las leyendas dicen que incluso la casa del Ser Supremo está formada de esta madera Hinoki sagrada. Los Patapon se sienten aliviados y descansados cuando entran en edificios hechos de esta preciosa madera.
item_gizaza_fang|Colmillo fe Gizaza
desc_gizaza_fang|La punta de este colmillo contiene innumerables púas diminutas. Cualquiera que haya sido atravesado por este colmillo sufrirá bastante tratando de sacárselo. Incluso los médicos Patapon más hábiles luchan para retirarlo.
item_dream_meat|Carne de Ensueño
desc_dream_meat|Esta legendaria carne veteada se derrite como algodón de azúcar, pero los Patapon prefieren comer en abundancia. Quien pruebe este manjar todos los días tendrá una vida feliz y tranquila.
item_scorching_spear|Lanza Abrasadora
desc_scorching_spear|La magia imbuida en esta lanza hace que su punta se encienda. Inflige mucho daño y prende fuego al objetivo. Los enemigos olerán a carne asada.
item_strength_helmet|Casco de Fuerza
desc_strength_helmet|Este casco mágico, decorado con pintura de algas rojas del Volcán Bovo, aumenta enormemente el ataque.
item_kirajin_helmet1|Casco de hierro Kirajin
desc_kirajin_helmet1|Un casco triangular hecho de un material desconocido que se cree que es hierro, proporciona atributos inusuales al que lo usa. Aumenta los puntos de vida y ataque.
item_kirajin_spear1|Lanza de Hierro Kirajin
desc_kirajin_spear1|Lanza hecha de un material desconocido que se cree que es hierro. Su punta es increíblemente afilada, uno podría pincharse el dedo con solo tocarlo suavemente.
// ## navigation NEW
nav_understood|Entendido
// ## tips NEW
tips_anykey|Pulsa cualquier tecla para continuar
tips_loading|Cargando
tip1_title|Cazando Kacheeks
tip1_desc|Cazar Kacheeks en el Valle Shida\es una antigua tradición Patapon.\\Estas lentas bestias han alimentado a la tribu\durante generaciones, y unirse a un grupo de caza\es la primera experiencia de muchos Patapon al\empuñar una lanza.\\Aunque su sentido del olfato no es tan bueno\como el de los frívolos Mochichis, es mejor\esperar el viento en contra antes de acercarse\para que no puedan oler a los Patapon.
tip2_title|Recompensas de Cazar
tip2_desc|¡Consigue carne cazando!\\Caza presas para que la tribu Patapon pueda comer.\Pase lo que pase en el mundo,\¡Los Patapons necesitan carne\para llenar sus estómagos!\\Si han guiado bien a los Patapons, ¡podrían\dejar algo de carne como ofrenda en el Altar!\\Los Kacheeks te dan Carne Correosa.\\Después de que regreses de cazar,\¡asegúrate de revisar el Altar!
tip3_title|Madera Robusta de la Arboleda Patapina
tip3_desc|La Arboleda Patapina es conocida por la facilidad\que hay de perderse por allí.\\Los árboles enormes son un material perfecto\para construir edificios fuertes, debido a su\increíble durabilidad.\\Muchos Patapon leñadores pasan\toda su vida recolectando madera,\y nuevos árboles crecen allí todos los días.
tip4_title|Comandos Perfectos
tip4_desc|Obtener comandos perfectos es la clave\para el mejor rendimiento.\\Una vez que toques los 4 tambores perfectamente,\ escucharas un sonido de "shwing".\\¡Obtendrás beneficios al ejecutar perfectamente un comando!\Los Patapons pueden caminar más rápido y causar más daño.\\¡Es una habilidad útil de aprender!
tip5_title|¡Recuerda cargar!
tip5_desc|PON PON CHAKA CHAKA carga tus unidades.\\¡Puedes usar este comando para obtener ventaja!\\¡Inflige más del doble de daño\al atacar!\\¡Reduce enormemente el daño recibido\al defender!\\Algunas clases tienen un comportamiento especial cuando están cargadas.
tip6_title|Wakapon y el Huevo del Mundo
tip6_desc|Wakapon es el guardián del Huevo del Mundo\que brilla en el centro del Puente Patapole.\\El Huevo del Mundo trae paz al mundo Patapon.\\La leyenda dice que si se rompiese\liberaría los males del Inframundo.\\Wakapon prometió a Kami proteger el Huevo \del Mundo a toda costa, incluso con su vida.
tip7_title|Sen Ranpurupon en la antigua Patápolis
tip7_desc|Sen es una sacerdotisa de la antigua era Patapon.\\Ella es un vínculo directo entre los Patapon y Kami,\y vivió a través de muchas generaciones de la tribu Patapon.\\Ranpurupon es muy cariñosa con cada Patapon,\criando y enseñando a los niños Patapon.\\Ella hará cualquier cosa para ayudar a que la tribu crezca.
// ## ingame quotes NEW
kirajin_ambush_1|¡Ataque sorpresa!\¡Posicionaos!
kirajin_ambush_2|¡Defiendan la torre de guardia!\¡No los dejéis pasar!
kirajin_ambush_3|¡La Arboleda Patapina les pertenece a los Kirajins!\¡No os dejaremos pasar!
kirajin_ambush_4|¡Ataque sorpresa!\¡De aquí no pasaréis!
kirajin_ambush_5|¡Defended la torre de guardia!\¡Por todo lo alto!
kirajin_ambush_6|¡Es nuestra oportunidad!\¡Destruídlos!
kirajin_talk_1|Los...Patapon\¡Están aquí!
kirajin_talk_2|Hehehe... Que estúpidos son los Patapons...\Tan estúpidos...
kirajin_talk_3|!Los Acantilados Ejiji\no nos serán arrebatados!
kirajin_talk_4|¡No les dejéis acercarse\a nuestra fuente de energía!
kirajin_talk_5|¡Atacad! ¡Estáis Muertos!
kirajin_talk_6|¡Este es vuestro fin!
kirajin_talk_7|¡Rendíos, estais acabados!
kirajin_talk_8|¡Odiamos a los Patapons!
kirajin_talk_8|Aguantad... Preparaos...
kirajin_talk_9|¡Ahora, atacad!
kirajin_talk_10|¡Perder no es una opción!
kirajin_talk_11|¡Proteged los cristales de energía!
kirajin_talk_12|¡Vais a pagar por esto!\¡Malditos Patapons!
kirajin_talk_13|¡No saldréis vivos de esta!
kirajin_talk_14|¡Tendremos nuestra venganza\Patapons!!!
kirajin_death_1|Muer... Muerte a mí...
kirajin_death_2|¡La muerte es inevitable!
kirajin_death_3|¡Volveremos!
kirajin_death_4|Kira...jin...
mission_backtopatapolis|Estás seguro de querer volver a Patápolis?\Los objetos y materiales obtenidos se perderán.
// ## christmas event NEW
tip8_title|Navidad en Patápolis
tip8_desc|¿Sabías que los Patapons también celebran la Navidad?\\Durante la época navideña, los Patapons decoran\Patápolis con muchos adornos coloridos.\\Los pequeños Patapons esperan a la llegada de Santapon,\\ quien les regala lo que más desean.\\¡Normalmente, suelen recibir su primera arma con la cual luchar en nombre del Ser Supremo y viajar al Confín de la Tierra!
item_rappata_spear|Lanza de Rappata
desc_rappata_spear|Una lanza bastante afilada creada a partir de huesos de Rappata. Es increíblemente ligera y puede atravesar varios objetivos a la vez.  
item_rappata_helm|Casco de Rappata 
desc_rappata_helm|Este casco hecho a partir del pelaje de los Rappata otorga mayor velocidad de movimiento y protección contra la congelación. 
item_christmas_charm_2020|Amuleto Navideño 2020
desc_christmas_charm_2020|¡Tener este amuleto en tu inventario te dará suerte durante todo el año! ¡Gracias por participar en el evento de invierno 2020 de Patafour!
item_santa_hat|Gorro de Santa
desc_santa_hat|Este cómodo gorro, tejido por las abuelas patapon, llena de felicidad y mantiene abrigado al que lo lleve puesto, otorga gran protección contra la congelación.
worldmap_mission_6_title|Helechos nevados en el Valle Shida
worldmap_mission_6_description|En esta época del año, el Valle Shida se cubre de nieve, mientras que los vientos helados del océano se acercan al puente de Patapole. Es el momento perfecto para que los animales poco comunes salgan de sus nidos y cacen peces bajo el hielo. A veces, aparecen especies realmente extrañas.
kirajin_talk_15|¡Congeladlos hasta la muerte!
kirajin_talk_16|¡Que nieve, los Patapons ya vienen! 
kirajin_ambush_7|¡Atacad! ¡Se deben de estar helando!
kirajin_death_5|Que… frío… 
// # Add your name here if you worked on the translation!
// # @SackBoy (SBG)
// # @Maglor el Mago 
// # @NGy14
